AT,EV,AP,RH,PE
19.97,50.78,1008.75,92.7,446.57
15.06,39.3,1019.63,63.32,464.15
6.58,43.02,1014.03,84.95,488.22
10.46,41.26,1020.65,92.24,473.76
19.65,45.01,1014.18,56.77,451.63
19.06,44.63,1004.23,84.43,456.54
26.02,70.79,1004.21,79.12,428.72
31.77,76.09,1007.4,73.36,431.69
23.69,77.54,1009.32,89.7,440.21
28.3,59.27,1010.92,61.83,445.19
23.62,56.85,1011.11,64.44,442.96
18.9,60.07,1016.02,71.38,451.5
28.86,73.18,1012.46,68.8,427.01
19.98,56.53,1020.22,73.53,454.89
24.13,48.98,1014.74,40.13,460.38
28.99,68.24,1008.75,66.57,428.28
29.58,76.2,1008.37,60.73,433.91
20.03,45.01,1012.73,56.89,460.11
15.48,47.83,1004.88,81.68,463.67
6.06,41.17,1019.67,84.7,489.62
16.73,45.0,1023.44,60.68,467.08
30.28,79.74,1006.96,70.21,433.45
22.1,65.06,1014.56,71.5,442.18
18.31,52.9,1015.99,66.14,459.61
10.05,41.17,1018.98,83.71,481.38
8.88,39.66,1015.21,88.29,481.45
13.79,45.08,1023.3,83.59,465.69
14.16,40.89,1010.78,82.86,471.15
15.74,71.14,1019.65,65.94,457.29
21.97,69.23,1012.25,86.45,443.85
19.65,63.91,1009.26,99.08,444.9
27.23,71.77,1006.59,77.94,427.39
31.05,62.7,1009.35,55.27,441.67
27.56,65.59,1010.88,66.47,439.64
13.3,37.9,997.41,91.51,465.61
27.01,71.25,1000.46,87.95,431.38
14.41,40.71,1016.78,69.77,467.01
22.78,49.16,1002.29,64.28,444.99
24.86,65.34,1012.99,60.33,447.25
12.49,38.25,1012.61,83.32,470.63
29.6,69.82,1010.49,61.66,438.47
12.0,41.5,1013.21,86.75,473.68
25.16,74.33,1014.55,76.7,436.15
29.58,66.51,1015.57,32.95,435.47
20.21,65.06,1016.46,73.36,451.46
23.24,63.78,1017.1,63.8,446.95
23.25,69.45,1013.85,70.14,437.18
29.25,71.94,1007.18,63.62,427.49
30.29,74.16,1008.77,75.23,431.39
27.61,59.54,1005.84,71.27,437.85
27.97,69.48,1010.4,57.24,432.18
24.82,57.19,1007.82,71.46,439.91
13.24,39.16,1016.52,86.66,474.48
14.97,58.2,1019.52,81.13,458.68
26.03,59.07,1007.3,82.52,440.6
29.99,74.9,1003.84,64.43,435.87
8.61,41.04,1024.81,95.6,473.62
9.0,43.13,1020.25,81.32,481.09
32.89,66.44,1009.94,60.55,431.54
24.31,44.05,1006.16,73.3,442.69
24.02,70.94,1008.0,79.55,441.57
22.92,61.9,1013.27,78.32,446.08
19.26,65.61,1015.03,85.74,451.85
24.88,63.31,1014.23,55.76,441.54
21.38,58.33,1013.05,72.75,446.8
29.29,72.58,1007.39,72.85,428.73
27.98,58.33,1013.92,54.25,437.76
27.56,66.93,1016.81,55.59,444.1
30.14,67.69,1006.54,57.05,426.91
28.94,62.26,1010.64,50.41,436.04
30.83,71.58,1009.92,48.8,432.11
25.82,69.68,1012.69,89.94,439.58
27.37,72.58,1008.16,79.94,428.05
6.42,35.57,1025.58,79.63,485.86
8.42,42.28,1008.4,87.78,481.91
12.33,38.91,1017.24,79.84,472.49
34.33,69.05,1000.89,37.9,430.56
15.68,39.16,1006.09,75.62,461.98
25.77,69.04,1009.66,65.49,445.35
21.67,61.45,1010.84,92.19,443.82
16.48,41.35,1005.61,89.07,465.64
26.44,69.34,1009.55,73.18,440.43
10.07,40.46,1018.65,69.2,470.99
9.78,41.93,1023.18,75.05,484.03
21.96,69.94,1011.09,80.27,441.15
26.81,71.29,1009.65,80.69,434.48
31.01,67.69,1005.06,46.16,426.64
24.11,68.63,1014.34,45.28,448.45
31.38,70.83,1010.35,47.28,431.33
7.92,39.54,1011.51,84.41,481.44
27.55,63.13,1012.92,71.29,440.75
12.43,40.27,1007.08,61.56,470.92
25.57,66.54,1005.22,83.48,430.92
24.14,63.21,1012.28,89.08,440.74
29.45,70.02,1010.28,65.93,437.82
32.31,62.04,1010.41,39.39,450.13
10.2,41.01,1021.39,96.64,468.27
28.33,68.14,1004.63,71.21,431.27
17.57,43.7,1015.53,67.22,463.64
15.99,43.5,1021.34,73.22,460.7
29.08,52.84,1006.14,40.09,438.24
14.38,45.09,1012.95,86.1,464.27
6.64,35.19,1019.83,76.01,484.03
25.27,69.89,1015.21,79.33,436.33
28.31,50.05,1005.75,50.17,436.75
28.01,51.43,1011.6,49.2,449.82
18.99,59.27,1012.15,89.39,453.4
11.51,41.06,1021.3,78.11,476.91
21.3,59.39,1013.83,84.53,444.21
23.51,57.32,1012.55,53.6,444.58
14.73,39.52,1017.01,74.21,470.45
28.76,60.23,1010.03,58.24,437.42
31.55,69.75,1010.12,58.36,435.01
23.97,64.05,1012.23,90.18,447.44
11.45,45.01,1018.88,92.12,470.4
25.54,48.41,1010.51,55.34,437.58
23.36,62.52,1016.18,68.18,448.37
20.94,44.89,1009.64,75.14,450.71
14.28,37.2,1013.96,82.71,467.44
16.89,49.21,1015.19,70.39,458.25
29.39,71.14,1010.97,53.88,430.5
20.82,63.77,1014.28,86.37,448.9
17.18,40.55,1000.47,72.03,461.73
23.07,50.05,1006.9,86.98,442.97
10.72,39.35,1015.35,86.43,480.18
10.41,41.01,1020.12,94.27,472.82
6.49,39.33,1010.85,91.85,489.22
25.08,61.02,1010.01,73.21,437.31
23.63,73.5,1011.46,89.39,438.21
18.93,59.39,1013.92,68.78,450.14
21.85,58.33,1013.03,66.39,447.31
9.48,40.8,1023.82,78.98,485.36
16.77,42.28,1007.53,73.19,465.52
25.91,58.98,1010.02,75.31,442.65
6.77,38.18,1017.8,81.13,484.31
27.45,64.34,1007.12,65.87,440.0
14.73,36.99,1007.32,90.84,468.23
14.1,41.04,1026.11,74.25,465.89
13.82,41.62,1011.48,77.66,454.88
28.28,56.9,1006.38,64.99,445.61
14.68,41.23,998.43,83.71,469.25
21.11,74.78,1009.71,84.35,442.68
16.29,50.88,1013.79,99.15,456.28
28.0,69.05,1000.82,65.24,427.71
31.07,70.32,1011.74,65.91,436.16
20.72,63.94,1017.17,59.83,447.69
29.1,73.4,1011.35,57.31,436.85
9.33,39.96,1024.55,98.58,473.78
18.99,62.1,1020.0,76.76,453.09
20.83,44.78,1008.51,35.9,460.6
23.99,68.12,1012.92,70.68,437.14
25.86,76.2,1005.73,69.35,438.75
16.27,44.21,1020.56,82.22,462.11
21.13,51.43,1007.43,88.72,445.4
30.72,71.58,1009.98,50.39,430.46
13.86,44.21,1022.6,83.56,468.3
33.11,77.54,1010.36,50.99,431.77
8.11,42.18,1014.82,93.09,473.62
25.32,63.77,1014.55,74.69,441.5
24.9,71.77,1006.24,85.25,427.77
8.75,36.3,1015.61,57.53,480.4
12.21,41.67,1012.88,85.19,475.07
25.16,58.82,1009.63,72.62,442.0
26.49,67.69,1004.61,78.13,430.62
15.5,44.92,1024.16,86.44,462.12
24.14,41.1,1002.1,38.49,450.13
26.71,77.95,1012.13,77.5,433.47
22.33,70.79,1006.02,93.35,436.74
23.36,56.89,1014.23,78.34,440.51
14.26,40.92,1022.07,73.96,460.38
30.61,69.13,1009.32,55.17,429.1
21.83,63.87,1018.93,63.07,452.21
25.42,75.6,1017.39,77.63,438.24
25.85,70.36,1005.59,78.23,433.06
27.78,68.67,1005.59,59.17,439.92
13.43,43.56,1013.02,66.36,472.94
22.39,59.04,1011.78,86.39,445.52
6.75,39.9,1008.3,87.42,484.05
14.9,52.05,1015.11,77.33,464.82
24.37,65.61,1014.5,65.67,443.13
19.66,59.87,1018.75,87.6,446.28
31.24,68.3,1015.89,42.84,435.2
15.74,43.71,1024.7,78.38,462.66
11.82,42.86,1014.12,88.28,476.7
11.57,44.63,1020.7,91.11,469.64
18.33,44.34,1019.55,51.69,468.8
17.2,40.55,1000.68,72.67,462.55
6.49,36.3,1016.52,69.1,483.43
23.99,45.87,1007.63,52.62,443.66
23.55,65.12,1016.23,66.65,446.44
23.41,74.99,1007.22,84.55,442.51
6.77,40.78,1024.86,96.58,478.24
19.45,38.52,1017.99,62.86,451.96
17.86,50.88,1015.59,88.28,457.33
31.54,77.24,1007.83,62.98,430.07
24.05,72.24,1011.32,88.94,437.81
20.46,66.05,1014.93,78.51,454.06
8.94,43.13,1014.82,76.66,483.63
22.18,59.8,1016.77,73.16,453.24
9.72,41.44,1015.17,84.41,481.85
25.19,63.94,1012.78,75.15,438.73
15.65,43.5,1021.39,78.58,463.5
11.83,38.25,1013.36,85.33,473.31
29.78,70.98,1007.82,77.59,436.32
16.3,41.16,1007.88,76.61,463.47
14.35,39.39,1012.92,82.41,470.53
11.06,41.5,1013.09,89.8,476.24
11.95,42.03,1017.58,90.89,465.2
5.84,40.62,1018.58,82.73,482.1
19.58,50.12,1009.82,100.1,449.44
5.11,39.4,1012.16,92.14,488.56
22.96,68.61,1011.15,76.62,447.18
33.59,79.05,1007.79,63.55,436.51
13.87,41.74,1021.42,64.02,472.12
12.5,43.67,1013.99,90.91,473.26
18.4,44.92,1024.88,64.89,458.36
14.38,40.1,1015.51,81.23,467.28
5.43,39.9,1007.5,86.27,487.84
19.66,58.79,1017.17,84.16,447.93
17.03,58.49,1011.91,92.16,460.48
11.53,41.14,1025.63,88.54,469.04
10.1,41.17,1019.18,84.87,479.95
22.61,60.27,1018.81,83.27,440.98
9.64,39.85,1012.9,83.82,478.37
32.95,75.08,1005.32,47.7,436.3
27.5,65.59,1011.23,65.37,441.27
13.72,41.62,1011.14,75.79,455.52
22.5,64.69,1007.03,74.92,440.73
26.12,49.02,1008.63,72.04,438.52
15.99,49.21,1015.17,76.4,463.47
28.26,63.13,1012.0,68.35,440.58
25.4,69.59,1008.58,82.22,432.58
22.24,64.27,1012.97,89.54,443.76
19.04,68.28,1004.52,86.16,444.54
26.15,64.27,1013.03,59.77,439.11
18.32,39.53,1008.15,64.85,454.44
22.65,68.67,1006.67,77.42,447.01
32.36,73.91,1003.88,59.84,431.92
27.11,66.49,1013.71,39.28,435.79
26.45,71.37,1008.0,77.06,438.36
12.78,44.6,1013.64,77.56,468.67
19.32,44.71,1015.3,28.81,464.38
12.15,71.14,1019.56,86.06,462.51
14.43,44.84,1024.34,84.0,467.45
30.34,71.25,1000.94,67.29,431.18
24.02,64.63,1020.49,55.17,449.66
18.68,46.0,1002.2,97.17,447.8
19.09,65.94,1012.53,81.06,446.34
26.45,75.6,1017.42,74.5,436.89
33.5,70.8,1008.99,57.24,433.19
18.5,41.85,1015.81,64.78,466.8
28.62,59.14,1016.36,53.1,436.09
12.88,44.0,1022.71,88.58,470.31
8.16,39.64,1011.21,85.56,481.78
26.2,72.24,1011.3,78.29,432.65
17.45,49.64,1026.4,66.67,454.67
24.55,57.5,1015.36,62.45,447.3
16.7,46.18,1011.2,96.84,456.2
18.89,67.71,1003.92,86.12,443.54
23.45,69.04,1010.5,80.77,442.48
20.67,57.5,1014.42,81.89,453.29
19.95,58.46,1017.45,89.46,447.1
7.28,39.81,1017.61,87.56,483.0
11.8,42.34,1020.25,93.54,466.52
22.45,59.87,1018.92,72.73,445.34
9.82,37.83,1005.29,100.07,473.66
27.29,67.32,1013.92,33.41,437.26
22.58,43.79,1015.66,44.18,460.3
11.78,39.96,1011.37,82.95,472.79
28.04,74.33,1013.53,48.65,432.92
13.35,40.27,1005.83,49.75,474.68
31.1,71.32,1008.09,45.87,437.54
14.16,44.58,1020.75,77.42,473.22
29.34,70.94,1007.82,62.43,433.57
31.12,68.14,1003.67,67.36,427.06
7.65,36.3,1016.5,65.51,482.56
13.97,53.82,1016.81,62.32,465.24
16.52,43.7,1015.08,58.36,466.73
18.03,53.16,1013.02,81.95,456.55
21.38,65.12,1015.73,68.02,448.5
19.54,54.9,1017.15,70.37,455.86
25.95,59.92,1010.05,76.05,443.93
20.54,61.27,1019.6,61.87,451.95
13.49,44.47,1030.46,69.49,466.66
16.79,49.25,1021.21,68.8,458.42
11.02,41.26,1020.69,92.13,471.93
14.02,42.86,1030.86,68.36,467.29
20.08,44.6,1014.91,36.27,461.07
7.79,42.03,1017.74,91.48,477.26
15.75,39.0,1015.91,69.58,460.73
11.87,44.6,1018.81,84.68,468.47
19.07,44.63,1020.23,44.93,456.37
29.71,71.85,1008.81,70.86,428.49
6.1,39.33,1010.4,95.34,491.37
16.02,71.14,1019.75,70.42,456.35
19.68,68.28,1002.62,71.57,452.47
18.77,49.21,1012.2,58.69,454.86
11.58,41.74,1020.41,74.09,478.06
16.96,52.9,1019.61,81.86,460.2
15.83,41.67,1013.39,74.12,464.93
26.55,69.45,1013.88,55.39,435.64
21.9,66.54,1004.76,89.99,439.06
14.26,42.32,1016.0,77.43,463.71
14.51,44.84,1023.23,82.33,465.09
5.64,40.62,1015.76,85.98,483.17
21.74,70.32,1011.88,85.95,439.19
30.52,70.4,1003.9,64.33,438.29
9.24,41.4,1018.34,84.91,477.65
11.54,40.77,1022.13,83.5,465.61
17.66,62.1,1019.49,86.3,452.03
18.8,39.72,1001.24,63.8,459.36
8.88,36.66,1026.61,76.16,480.2
13.93,40.2,1013.41,89.86,466.47
23.02,69.94,1007.94,64.66,439.4
13.32,43.22,1009.45,75.3,466.83
17.47,58.59,1014.03,97.13,449.41
26.3,67.07,1006.26,63.79,433.72
22.81,58.96,1013.5,55.66,452.89
7.24,39.04,1019.0,68.69,485.57
28.2,66.75,1018.35,60.18,433.46
6.79,38.5,1012.61,72.46,488.69
19.39,43.14,1012.75,44.21,464.55
22.87,71.29,1008.1,73.1,442.27
12.24,40.66,1017.4,96.22,464.7
23.59,47.43,1006.64,48.92,447.36
26.31,68.51,1013.26,68.66,435.91
15.56,41.1,1004.65,84.58,467.32
22.61,42.8,1014.24,69.71,460.26
10.41,36.71,1022.02,84.56,474.2
12.62,40.83,1010.06,81.52,470.94
28.81,64.96,1000.46,68.05,427.91
11.21,40.75,1016.45,86.14,479.2
14.66,41.76,1022.12,78.13,463.6
23.37,70.94,1008.01,81.28,441.56
19.33,58.96,1014.88,67.86,456.54
26.91,65.34,1014.19,50.7,443.6
31.9,73.42,1010.82,60.58,432.27
24.51,58.79,1016.11,61.7,443.5
15.07,39.3,1019.0,63.62,464.7
15.68,43.7,1015.09,58.96,470.29
22.32,48.41,1008.68,79.11,445.36
17.46,40.22,1006.7,91.96,461.74
32.51,73.56,1007.06,59.6,435.23
7.61,44.71,1019.41,70.48,485.36
29.09,75.33,1001.61,71.06,433.29
9.45,36.71,1024.24,83.28,476.02
10.8,41.66,1013.79,81.96,475.51
11.12,44.92,1025.58,93.52,470.82
22.79,44.57,1007.31,69.36,448.91
8.93,40.46,1019.03,71.0,472.77
15.67,48.78,1013.76,88.92,462.96
7.26,36.08,1021.47,83.15,483.58
22.02,69.45,1013.84,75.75,440.26
9.19,42.44,1014.38,94.24,481.55
26.48,51.43,1006.76,74.3,438.1
24.37,63.47,1012.77,75.22,445.6
30.97,74.22,1007.93,49.74,431.58
18.28,45.0,1022.47,43.03,471.42
24.83,62.4,1010.13,70.18,442.2
19.8,52.9,1017.75,66.67,456.64
26.31,52.09,1013.39,53.59,447.04
19.7,54.42,1011.83,89.86,450.48
25.53,59.57,1010.65,82.04,445.59
28.07,61.47,1008.68,64.83,442.59
25.34,64.27,1013.38,66.02,443.94
9.59,38.56,1017.52,61.89,481.05
27.28,47.93,1003.46,59.22,438.0
13.12,39.18,1023.11,64.33,471.44
25.11,67.32,1014.49,58.39,441.93
8.85,41.06,1020.99,86.05,486.4
22.4,68.31,1009.52,83.5,446.91
27.16,66.44,1011.2,73.37,431.85
30.78,69.14,1007.27,62.77,433.96
27.22,66.48,1004.59,52.66,436.06
25.61,60.32,1015.77,56.48,443.96
13.51,43.41,1015.94,75.22,463.86
21.77,42.23,1013.03,67.44,462.51
27.48,61.41,1012.2,45.06,452.24
16.0,43.34,1013.58,78.87,461.7
30.76,73.17,1009.89,50.43,430.98
21.3,41.1,1001.86,42.75,455.13
29.83,68.67,1005.33,71.15,434.28
31.63,65.74,1010.83,50.59,437.54
16.38,55.5,1019.8,82.44,464.58
23.69,73.67,1007.19,86.73,437.57
24.42,57.32,1011.46,55.92,443.94
14.19,43.71,1024.38,83.03,467.8
25.56,74.99,1005.41,85.75,433.63
19.93,57.25,1010.6,89.34,455.15
13.94,47.83,1004.83,81.2,465.13
27.91,63.76,1010.27,65.67,435.21
21.93,62.91,1013.45,74.62,449.17
33.82,77.17,1008.96,58.91,435.58
12.58,39.72,1017.85,57.74,471.24
12.18,40.1,1016.67,91.87,471.49
25.64,68.14,1005.48,56.11,437.63
28.55,65.27,1013.34,48.95,437.62
29.17,67.45,1014.1,46.85,435.08
8.63,43.79,1016.08,83.25,483.91
27.66,69.75,1009.71,84.27,439.18
24.7,58.46,1015.58,68.64,439.7
18.0,53.16,1013.02,82.47,455.69
13.24,54.3,1017.05,81.99,467.81
22.27,48.98,1014.47,49.33,451.74
29.03,67.79,1010.86,54.03,445.03
7.62,44.71,1020.56,69.96,486.07
28.18,49.3,1003.97,55.56,438.91
23.76,58.41,1013.85,85.38,445.85
20.26,50.32,1009.81,93.12,448.4
21.82,50.66,1013.74,73.6,455.2
30.24,67.32,1014.07,46.53,437.18
32.96,68.31,1010.39,42.33,443.57
12.45,40.56,1017.84,66.52,477.41
9.04,44.68,1023.14,90.73,479.53
16.01,43.69,1017.12,62.43,465.89
15.86,43.67,1011.11,82.24,465.46
15.5,44.34,1019.21,65.21,468.53
32.22,70.8,1009.9,62.03,433.07
18.93,48.6,1005.72,84.92,449.74
5.72,39.33,1009.96,95.4,490.76
17.34,44.06,1015.84,74.88,458.5
23.95,58.46,1017.5,68.46,440.75
20.79,50.59,1017.75,73.35,456.01
13.78,40.1,1014.49,81.86,445.98
28.15,72.99,1007.62,70.03,431.83
16.02,39.54,1007.73,72.81,466.15
13.55,40.1,1015.7,86.68,474.59
6.8,39.37,1020.24,73.29,487.33
10.87,38.38,1020.85,69.78,477.03
19.09,44.63,1019.91,39.32,461.36
22.73,43.79,1015.61,42.66,460.2
25.36,61.41,1011.89,55.64,452.29
6.79,39.37,1019.79,72.39,487.3
29.9,74.99,1002.28,59.76,436.77
25.21,59.21,1017.37,55.06,445.33
26.48,73.06,1008.07,90.73,433.31
9.29,39.96,1026.2,97.55,473.51
19.24,58.33,1013.65,85.47,449.26
8.57,41.17,1020.18,72.47,484.2
15.66,43.99,1021.18,88.62,467.57
7.49,39.81,1018.2,85.96,483.71
6.01,35.79,1011.05,91.33,482.25
21.75,65.12,1015.53,66.0,452.89
24.17,71.58,1010.16,89.96,436.27
22.21,60.77,1018.21,84.96,444.57
28.11,66.17,1010.51,65.16,444.2
8.8,41.26,1008.08,96.52,479.74
17.79,40.12,1012.74,79.03,459.13
14.13,48.92,1011.72,78.06,464.17
24.65,64.63,1020.52,53.45,446.04
33.8,64.96,1004.88,49.37,427.28
18.11,52.08,1002.51,100.09,449.99
13.18,43.8,1023.18,61.21,467.0
15.16,50.88,1013.88,100.11,460.03
23.68,68.3,1017.93,84.16,438.65
27.54,51.43,1012.3,54.82,439.8
6.15,40.07,1020.2,66.64,494.3
21.61,58.62,1017.61,76.07,449.11
30.62,64.69,1006.23,52.06,435.84
8.86,40.8,1028.18,91.0,483.36
22.52,64.27,1014.34,82.77,445.4
20.74,59.8,1015.46,76.39,452.99
27.51,63.73,1009.97,66.14,440.81
24.79,59.21,1017.9,53.83,446.04
27.82,52.84,1006.23,52.18,440.31
20.78,58.86,1016.02,77.29,446.2
16.73,39.64,1008.94,74.91,464.46
23.64,71.25,1004.92,93.87,442.26
7.17,41.92,1031.97,83.86,485.08
10.48,41.38,1021.97,65.22,481.41
10.52,42.18,1014.9,95.67,469.03
14.12,40.92,1022.46,73.28,459.76
12.63,48.04,1013.0,100.13,464.6
24.96,74.99,1008.25,80.52,440.91
6.67,39.37,1019.99,75.61,486.84
27.55,73.68,1013.62,81.13,431.86
5.98,38.91,1016.5,91.83,488.85
21.93,61.45,1008.92,98.54,443.91
4.0,39.9,1008.46,97.21,490.68
26.45,54.5,1014.96,65.55,450.76
30.04,67.25,1017.57,38.14,434.83
16.0,43.02,1012.37,39.2,466.01
18.41,62.1,1020.4,78.1,457.14
31.24,71.98,1004.66,57.17,426.93
14.13,41.23,994.6,93.02,467.84
19.94,61.87,1009.7,66.6,445.97
27.14,63.13,1013.38,75.68,438.82
21.11,59.39,1013.87,85.29,446.02
15.65,54.3,1018.0,69.66,461.69
15.86,43.02,1012.18,40.33,466.6
30.15,69.88,1007.2,73.67,434.75
3.63,38.44,1016.16,87.38,487.87
24.55,67.07,1005.66,63.58,443.39
24.6,67.69,1008.67,67.69,440.22
7.21,42.03,1017.81,90.12,482.26
27.59,71.97,1008.64,88.22,437.33
27.59,50.05,1005.71,57.03,437.98
19.6,60.95,1015.4,84.26,456.06
23.65,66.05,1019.6,78.21,442.9
25.0,69.71,1009.23,80.92,438.38
28.46,69.75,1009.46,79.75,435.75
29.24,64.33,1011.5,64.14,440.29
16.44,53.16,1014.82,75.29,458.49
20.01,59.87,1019.0,84.12,448.39
24.35,51.86,1014.34,67.22,442.81
28.61,68.12,1011.71,47.57,432.94
7.87,41.17,1020.33,77.77,486.2
7.0,39.81,1017.47,87.65,484.51
33.61,69.88,1007.4,42.51,435.99
25.89,48.41,1008.59,65.38,442.12
25.44,70.17,1000.65,91.89,433.02
24.85,58.05,1011.5,70.12,444.53
22.76,49.21,1014.35,48.85,448.73
30.95,71.58,1009.95,50.02,430.47
23.81,66.51,1016.96,70.16,438.32
10.17,40.1,1014.05,91.9,479.58
20.12,58.12,1015.47,79.38,453.33
29.72,68.24,1009.92,66.42,426.54
7.77,40.27,1010.25,83.65,485.54
10.89,44.2,1018.3,86.32,479.16
19.48,63.09,1019.28,78.04,449.6
22.66,69.84,1006.16,82.79,439.06
6.24,35.77,1019.24,70.7,483.36
14.01,45.08,1023.28,82.49,464.79
21.7,64.44,1014.95,73.33,448.51
7.11,40.77,1022.4,90.95,475.55
15.9,41.35,1005.35,92.89,464.93
23.45,66.25,1009.1,90.28,443.44
6.03,41.17,1019.81,84.2,488.57
27.27,72.58,1009.25,89.31,428.93
24.12,51.43,1006.55,83.77,441.49
31.93,70.4,1005.27,73.71,432.29
14.85,43.13,1016.02,55.29,470.37
25.06,52.36,1014.7,67.98,454.13
25.1,61.47,1007.84,75.75,447.27
10.91,37.92,1008.66,66.53,473.72
26.58,59.39,1014.49,65.87,439.46
31.92,75.33,1002.13,65.73,431.32
21.49,70.32,1009.07,92.25,443.04
5.04,40.64,1021.35,93.63,484.42
29.73,73.06,1010.27,84.84,432.73
28.85,71.32,1009.09,76.9,435.13
16.66,36.71,1013.68,70.66,466.07
23.43,51.43,1011.31,73.55,444.09
12.98,39.64,1013.95,74.39,473.54
14.24,45.01,1013.54,88.68,461.64
10.89,40.81,1025.82,81.18,478.23
12.24,49.83,1007.9,94.28,466.83
13.83,39.64,1012.52,69.97,472.95
8.27,37.7,1015.09,73.64,479.16
20.45,48.41,1010.81,86.7,444.69
6.43,36.08,1022.73,85.03,486.39
21.9,57.76,1017.45,66.89,449.95
26.34,69.45,1013.87,54.15,438.5
8.01,40.02,1031.33,85.01,477.84
20.65,57.5,1016.04,87.45,448.22
25.98,73.18,1012.28,85.78,439.73
14.81,43.7,1015.1,60.72,469.5
23.74,49.21,1012.78,42.5,447.67
8.03,37.8,1020.47,60.67,481.51
27.6,73.42,1011.91,83.66,431.44
32.38,69.05,1000.76,45.85,429.31
11.67,37.73,1021.2,68.88,473.54
18.67,58.46,1016.73,87.7,447.16
14.59,35.71,1015.19,54.13,469.32
14.43,44.47,1028.57,70.7,466.56
23.95,51.86,1014.24,68.28,449.81
22.67,64.15,1021.02,70.49,453.47
20.03,57.19,1007.31,81.69,446.46
15.92,37.64,1014.93,83.73,464.14
15.16,40.73,1017.7,86.37,459.19
9.39,40.11,1029.14,77.29,473.05
23.65,71.98,1006.09,93.39,434.11
10.76,40.43,1025.98,79.65,490.78
11.92,40.62,1016.66,55.25,468.14
10.07,44.68,1023.44,90.95,477.52
19.75,57.32,1010.76,79.29,443.63
24.58,49.02,1008.85,79.32,442.47
27.67,69.59,1009.13,82.15,437.29
30.16,69.34,1007.67,57.69,433.54
22.0,51.3,1012.87,85.79,450.18
26.56,49.02,1007.65,70.78,438.82
23.43,69.23,1013.09,63.48,441.6
30.92,80.18,1010.11,72.47,432.35
21.59,61.87,1011.18,57.21,446.58
24.56,51.86,1014.43,68.85,447.57
29.09,47.93,1003.05,48.13,438.97
25.91,75.6,1018.23,62.65,443.2
15.47,46.48,1007.69,91.07,462.58
11.26,40.43,1025.68,74.67,489.66
11.02,39.96,1025.64,93.58,467.41
14.26,44.2,1019.81,76.46,462.87
26.78,73.06,1007.99,90.47,433.25
8.35,40.77,1011.77,90.25,478.82
32.48,69.75,1009.05,40.47,438.17
17.57,44.06,1015.43,72.75,459.73
26.77,68.08,1010.83,63.48,432.91
12.08,40.24,1016.63,92.32,474.07
16.85,52.9,1019.47,81.28,460.84
8.25,41.26,1020.59,91.84,475.17
26.05,46.21,1011.31,55.25,450.86
23.86,45.87,1007.71,48.73,446.67
27.29,64.45,1013.46,45.35,446.94
29.26,67.17,1006.6,70.58,436.42
13.24,39.85,1012.64,59.99,477.22
24.85,68.37,1006.5,68.37,442.66
26.69,70.36,1006.82,68.29,435.04
24.8,59.87,1018.79,60.79,441.0
17.08,58.86,1016.04,87.46,449.98
24.65,52.36,1014.76,66.63,455.68
13.27,40.27,1006.1,40.04,473.88
12.67,48.14,1017.41,83.63,463.68
16.39,41.67,1012.96,61.07,467.68
15.0,40.66,1016.28,89.62,456.63
24.33,46.93,1013.83,44.59,447.54
27.41,59.21,1013.3,50.93,438.39
26.98,72.58,1008.55,78.5,431.12
27.71,69.13,1001.63,51.45,432.54
26.75,70.32,1007.61,54.09,433.46
15.71,44.06,1018.34,71.69,465.05
26.68,49.02,1008.4,68.01,441.54
33.38,71.06,1008.1,64.83,430.98
10.82,42.02,996.03,99.34,475.46
28.15,71.25,1000.51,81.04,431.28
26.35,69.48,1008.45,70.47,435.23
17.82,56.89,1014.24,77.73,453.83
20.27,56.65,1020.75,67.12,454.29
22.08,41.1,1002.19,46.69,455.04
11.71,40.05,1014.49,86.09,471.49
6.41,40.81,1026.57,93.51,484.49
19.01,58.46,1017.14,90.99,446.18
9.79,39.69,1002.36,93.86,471.61
28.85,59.27,1011.69,51.8,440.3
3.38,41.31,998.79,97.76,489.11
25.15,71.14,1011.68,70.33,434.99
13.7,43.22,1012.01,71.57,463.99
13.49,44.47,1030.18,69.15,468.46
11.97,41.04,1026.42,70.75,468.81
8.27,35.77,1015.3,73.36,478.13
18.26,60.95,1016.94,78.91,457.03
20.01,52.9,1018.05,58.88,455.57
23.24,68.31,1009.71,80.8,440.78
21.45,66.05,1014.81,73.73,453.38
14.5,40.66,1016.81,82.93,463.53
23.63,73.18,1012.29,88.81,437.7
6.02,41.38,1021.2,88.71,490.57
23.43,71.97,1009.42,94.27,442.19
16.29,44.34,1019.49,59.36,468.8
26.52,77.17,1008.71,92.32,432.48
25.15,68.51,1013.25,72.31,440.96
15.72,41.76,1023.07,66.95,462.19
9.55,38.08,1019.34,68.38,479.23
21.26,60.84,1018.43,78.83,446.08
10.35,37.14,1013.37,69.26,472.63
10.33,43.99,1020.7,96.68,474.17
26.23,63.56,1013.57,65.81,440.8
12.05,48.04,1009.14,100.13,464.14
16.52,42.24,1017.51,67.65,469.13
11.95,42.07,1018.52,84.73,467.91
12.77,40.71,1014.66,72.81,471.59
13.18,40.73,1017.62,94.4,465.96
6.48,40.27,1010.55,82.12,486.68
13.52,40.83,1009.94,87.53,470.47
11.75,35.76,1018.99,57.92,473.01
23.89,50.16,1004.88,73.94,444.99
14.46,45.87,1008.26,89.44,458.69
