Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
339.0,0.0,0.0,185.0,0.0,1060.0,754.0,28,31.6469484
157.0,236.0,0.0,192.0,0.0,935.4,781.2,3,9.694722036
436.0,0.0,0.0,218.0,0.0,838.4,719.7,28,23.84897484
157.0,236.0,0.0,192.0,0.0,935.4,781.2,90,43.377003588
135.7,203.5,0.0,185.7,0.0,1076.2,759.3,28,18.19871902
475.0,0.0,59.0,142.0,1.9,1098.0,641.0,28,57.226507999999995
252.31,0.0,98.75,146.25,14.17,987.76,889.01,56,55.82687172
316.1,210.7,0.0,185.7,0.0,977.0,689.3,28,38.70028788
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,100,35.34253976
233.81,0.0,94.58,197.89,4.567,947.04,852.16,28,22.83544512
275.07,0.0,121.35,159.48,9.9,1053.6,777.5,28,51.331488199999995
331.0,0.0,0.0,192.0,0.0,978.0,825.0,7,16.26473884
212.0,141.3,0.0,203.5,0.0,973.4,750.0,90,39.700028079999996
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,14,20.08443588
387.0,20.0,94.0,157.0,13.93,938.0,845.0,28,46.68441996
289.0,0.0,0.0,192.0,0.0,913.2,895.3,28,25.573354316
265.0,111.0,86.0,195.0,6.0,833.0,790.0,28,41.540929
200.0,133.0,0.0,192.0,0.0,965.4,806.2,90,43.25082948
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,100,56.061293559999996
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,43.698299404
213.76,98.06,24.52,181.74,6.65,1066.0,785.52,100,49.973220479999995
375.0,0.0,0.0,186.0,0.0,1038.0,758.0,7,26.0621928
380.0,95.0,0.0,228.0,0.0,932.0,594.0,180,40.759063216
203.5,305.3,0.0,203.5,0.0,963.4,630.0,7,19.539060364
375.0,93.8,0.0,126.6,23.4,852.1,992.6,91,62.5009994
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,100,48.15300384
385.0,0.0,0.0,186.0,0.0,966.0,763.0,1,6.26733684
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56,64.30053176
318.8,212.5,0.0,155.7,14.3,852.1,880.4,7,33.398217439999996
298.1,0.0,107.5,163.6,12.8,953.2,784.0,28,35.86585204399999
193.5,290.2,0.0,185.7,0.0,998.2,704.3,28,32.626693796000005
475.0,118.8,0.0,181.1,8.9,852.1,781.5,91,74.19451236
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,7,13.71367764
158.8,238.2,0.0,185.7,0.0,1040.6,734.3,28,21.066249704
298.0,0.0,107.0,186.0,6.0,879.0,815.0,28,42.63719584
228.0,342.1,0.0,185.7,0.0,955.8,674.3,7,21.917063088
350.0,0.0,0.0,203.0,0.0,974.0,775.0,14,22.53207568
220.8,147.2,0.0,185.7,0.0,1055.0,744.3,28,25.745033839999998
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.89581932
289.0,0.0,0.0,192.0,0.0,913.2,895.3,3,11.654902304
333.0,17.5,163.0,167.0,17.9,996.0,652.0,28,47.27736932
144.0,0.0,175.0,158.0,18.0,943.0,844.0,28,15.41668336
277.05,0.0,97.39,160.6,11.83,973.9,875.61,56,51.03501352
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,90,35.763120119999996
288.0,192.0,0.0,192.0,0.0,932.0,717.8,3,16.10960674
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.29871315999999
339.0,0.0,0.0,185.0,0.0,1069.0,754.0,28,31.84000168
275.0,0.0,0.0,183.0,0.0,1088.0,808.0,7,14.2032056
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,180,71.62276688
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,3,26.0621928
516.0,0.0,0.0,162.0,8.2,801.0,802.0,28,41.36856
218.85,0.0,124.13,158.49,11.33,1078.7,794.91,14,26.04840328
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270,53.300631656
325.6,166.4,0.0,174.0,8.9,881.6,790.0,28,61.23581094
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,14,32.90179472
250.0,0.0,95.69,191.84,5.33,948.9,857.2,3,8.48744956
239.6,359.4,0.0,185.7,0.0,941.6,664.3,7,25.422359072
194.68,0.0,100.52,170.17,7.48,998.0,901.8,14,24.28334472
222.36,0.0,96.67,189.29,4.46,967.08,870.32,28,24.8900836
480.0,0.0,0.0,192.0,0.0,936.0,721.0,90,54.27555072
280.0,129.0,100.0,172.0,9.0,825.0,805.0,28,52.82075636
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,3,13.62404576
427.5,47.5,0.0,228.0,0.0,932.0,594.0,365,43.698299404
287.3,120.5,93.9,187.6,9.2,904.4,695.9,28,43.798273423999994
295.8,0.0,0.0,185.7,0.0,1091.4,769.3,7,14.843728804
322.5,148.6,0.0,185.8,8.5,951.0,709.5,28,52.426376088
480.0,0.0,0.0,192.0,0.0,936.2,712.2,3,24.404692496
374.0,189.2,0.0,170.1,10.1,926.1,756.7,91,64.90037588
381.4,0.0,0.0,185.7,0.0,1104.6,784.3,7,14.54104884
387.0,20.0,94.0,157.0,11.61,938.0,845.0,56,61.45989064
312.7,0.0,0.0,178.1,8.0,999.7,822.2,28,25.10382116
480.0,0.0,0.0,192.0,0.0,936.0,721.0,28,43.892042159999995
275.07,0.0,121.35,159.48,9.9,1053.6,777.5,14,38.76923548
149.0,153.0,194.0,192.0,8.0,935.0,623.0,28,24.579819399999998
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,28,38.20386516
350.0,0.0,0.0,203.0,0.0,974.0,775.0,28,27.337723399999998
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,56,34.20490436
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,100,49.99390476
374.3,0.0,0.0,190.2,6.7,1013.2,730.4,28,39.056057496
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180,44.207822168
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,56,48.9872698
385.0,0.0,0.0,186.0,0.0,966.0,763.0,14,27.923778
140.0,164.0,128.0,237.0,6.0,869.0,656.0,28,35.225328839999996
315.0,137.0,0.0,145.0,5.9,1130.0,745.0,28,81.75116932
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,14,21.601283079999998
400.0,0.0,0.0,187.0,0.0,1025.0,745.0,7,30.143890719999998
318.8,212.5,0.0,155.7,14.3,852.1,880.4,3,25.2003478
356.0,119.0,0.0,160.0,9.03,1061.0,657.0,28,58.99846132
143.7,170.2,132.6,191.6,8.5,814.1,805.3,28,29.870858223999996
145.0,0.0,179.0,202.0,8.0,824.0,869.0,28,10.53519328
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,3,24.40055564
322.0,149.0,0.0,186.0,8.0,951.0,709.0,28,52.42086028
251.37,0.0,118.27,192.94,5.75,1043.6,754.3,100,40.14818748
277.0,117.0,91.0,191.0,7.0,946.0,666.0,28,43.5748832
388.6,97.1,0.0,157.9,12.1,852.1,925.7,56,55.19944856
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,56,31.53663224
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,100,33.56369168
376.0,0.0,0.0,214.6,0.0,1003.5,762.36,14,25.62092816
150.0,236.8,0.0,173.8,11.9,1069.3,674.8,28,37.431652039999996
266.0,114.0,0.0,228.0,0.0,932.0,670.0,180,48.695621452
405.0,0.0,0.0,175.0,0.0,1120.0,695.0,28,52.30364936
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.29871315999999
321.3,164.2,0.0,190.5,4.6,870.0,774.0,28,57.21823428799999
160.0,250.0,0.0,168.0,12.0,1049.0,688.0,28,39.45181672
237.5,237.5,0.0,228.0,0.0,932.0,594.0,365,38.995383608
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3011712
133.0,210.0,0.0,196.0,3.0,949.0,795.0,28,31.026419999999998
331.0,0.0,0.0,192.0,0.0,978.0,825.0,90,37.231704
277.0,0.0,0.0,191.0,0.0,968.0,856.0,360,33.70158688
218.85,0.0,124.13,158.49,11.33,1078.7,794.91,28,30.219733079999997
276.4,116.0,90.3,179.6,8.9,870.1,768.3,28,44.284354003999994
374.0,189.2,0.0,170.1,10.1,926.1,756.7,3,34.39795764
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,28,33.082437432
310.0,0.0,0.0,192.0,0.0,970.0,850.0,7,14.98920824
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,14,34.23937816
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.399596392
148.0,0.0,182.0,181.0,15.0,839.0,884.0,28,15.520104759999999
152.6,238.7,0.0,200.0,6.3,1001.8,683.9,28,26.859916531999996
254.0,0.0,0.0,198.0,0.0,968.0,863.0,365,29.7853632
252.0,0.0,0.0,186.0,0.0,1111.0,784.0,7,11.46598588
321.0,0.0,128.0,182.0,11.0,870.0,780.0,28,37.25928304
322.2,0.0,115.6,196.0,10.4,817.9,813.4,28,31.178794196000002
194.68,0.0,100.52,165.62,7.48,1006.4,905.9,56,33.963587759999996
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,3,12.5484632
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,14,26.77235308
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,3,17.9953236
520.0,0.0,0.0,170.0,5.2,855.0,855.0,28,60.280886679999995
203.5,305.3,0.0,203.5,0.0,963.4,630.0,3,9.561653168
238.0,0.0,0.0,185.0,0.0,1118.0,789.0,28,17.54026944
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,28,27.77209328
312.9,160.5,0.0,177.6,9.6,916.6,759.5,28,52.446370892
192.0,288.0,0.0,192.0,0.0,929.8,716.1,7,21.48062478
133.0,200.0,0.0,192.0,0.0,927.4,839.2,28,27.874825204
337.9,189.0,0.0,174.9,9.5,944.7,755.8,91,67.79617508
295.71,0.0,95.64,171.54,8.87,955.14,859.2,100,52.04164848
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,14,33.00521612
469.0,117.2,0.0,137.8,32.2,852.1,840.5,56,69.29923276
310.0,143.0,111.0,168.0,22.0,914.0,651.0,28,33.68779736
210.7,316.1,0.0,185.7,0.0,977.0,689.3,7,21.819846971999997
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,28,31.2677366
122.6,183.9,0.0,203.5,0.0,958.2,800.1,90,33.192064116000005
146.0,173.0,0.0,182.0,3.0,986.0,817.0,28,23.73865868
393.0,0.0,0.0,192.0,0.0,940.6,785.6,7,27.742445811999996
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,65.19685056
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,56,45.08483564
141.3,212.0,0.0,203.5,0.0,971.8,748.5,90,39.6621069
333.0,0.0,0.0,192.0,0.0,931.2,842.6,7,23.404952295999998
290.35,0.0,96.18,168.08,9.41,961.18,865.0,28,34.73580088
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,14,33.35684888
135.0,0.0,166.0,180.0,10.0,961.0,805.0,28,13.29309728
401.8,94.7,0.0,147.4,11.4,946.8,852.1,7,54.09628696
296.0,0.0,0.0,186.0,0.0,1090.0,769.0,7,18.91232668
238.05,0.0,94.11,186.66,7.0,949.91,847.01,14,25.68987576
250.0,0.0,95.69,187.42,5.53,956.86,861.17,56,38.32797084
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.29663476
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,7,17.43684804
332.5,142.5,0.0,228.0,0.0,932.0,594.0,180,39.779317819999996
299.8,0.0,119.8,211.5,9.9,878.2,727.6,28,23.835874796
388.6,97.1,0.0,157.9,12.1,852.1,925.7,28,50.69717028
250.2,166.8,0.0,203.5,0.0,977.6,694.1,7,19.35014394
339.0,0.0,0.0,197.0,0.0,968.0,781.0,7,20.96696516
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28,28.23748958
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,28,46.38794528
500.1,0.0,0.0,200.0,3.0,1124.4,613.2,28,44.13335876
249.1,0.0,98.75,158.11,12.8,987.76,889.01,14,28.6822016
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,28,67.69964844
164.6,0.0,150.4,181.6,11.7,1023.3,728.9,28,18.033934256
238.05,0.0,94.11,186.66,7.0,949.91,847.01,100,44.298833
222.36,0.0,96.67,189.29,4.46,967.08,870.32,14,24.44881896
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,56,54.896079119999996
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,8.06342182
238.2,158.8,0.0,185.7,0.0,1040.6,734.3,7,15.691094808
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,14,22.718234199999998
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,14,47.7117392
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,56,31.715896
136.0,196.0,98.0,199.0,6.0,847.0,783.0,28,26.96540636
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,3,23.52492112
153.0,239.0,0.0,200.0,6.0,1002.0,684.0,28,26.8550902
238.0,0.0,0.0,186.0,0.0,1119.0,789.0,28,17.54026944
325.0,0.0,0.0,184.0,0.0,1063.0,783.0,28,30.57136584
183.9,122.6,0.0,203.5,0.0,959.2,800.0,7,10.787541496
190.68,0.0,125.4,162.14,7.77,1090.0,804.01,56,35.34253976
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,56,48.587373719999995
475.0,0.0,0.0,228.0,0.0,932.0,594.0,365,41.934619796
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,14,36.990387399999996
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,91,56.49566344
382.0,0.0,0.0,185.0,0.0,1047.0,739.0,28,37.42475728
326.0,0.0,138.0,199.0,11.0,801.0,792.0,28,40.679083999999996
446.0,24.0,79.0,162.0,11.64,967.0,712.0,3,25.021084039999998
133.0,200.0,0.0,192.0,0.0,927.4,839.2,90,36.588422892
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.29715436
289.0,133.7,0.0,194.9,5.5,924.1,760.1,28,46.247292176
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,100,53.65502232
200.0,133.0,0.0,192.0,0.0,965.4,806.2,7,17.165883972
239.6,359.4,0.0,185.7,0.0,941.6,664.3,28,39.435269296
236.0,0.0,0.0,194.0,0.0,968.0,885.0,3,6.467284879999999
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,100,56.63355864
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,100,45.3675208
155.0,183.0,0.0,193.0,9.0,877.0,868.0,28,23.786922
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,28,44.0919902
401.8,94.7,0.0,147.4,11.4,946.8,852.1,56,73.69808963999999
451.0,0.0,0.0,165.0,11.25,1030.0,745.0,28,78.80021203999999
376.0,0.0,0.0,214.6,0.0,1003.5,762.36,28,31.971002119999998
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,3,21.29101888
313.3,145.0,0.0,178.5,8.0,867.2,824.0,28,40.925226931999994
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,90,37.91428524
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,100,45.3675208
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,56,64.90037588
389.9,189.0,0.0,145.9,22.0,944.7,755.8,3,40.59634688
439.0,177.0,0.0,186.0,11.1,884.9,707.9,7,56.095767359999996
255.5,170.3,0.0,185.7,0.0,1026.6,724.3,7,17.236210524
141.3,212.0,0.0,203.5,0.0,971.8,748.5,7,10.3938507
190.68,0.0,125.4,162.14,7.77,1090.0,804.01,28,26.40003604
154.8,183.4,0.0,193.3,9.1,1047.4,696.7,28,18.287661424
153.0,145.0,113.0,178.0,8.0,1002.0,689.0,28,25.55887532
388.6,97.1,0.0,157.9,12.1,852.1,925.7,3,28.096147
342.0,38.0,0.0,228.0,0.0,932.0,670.0,270,55.064311264
330.5,169.6,0.0,194.9,8.1,811.0,802.3,28,56.619079643999996
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,3,17.22311048
446.0,24.0,79.0,162.0,11.64,967.0,712.0,28,44.42293868
528.0,0.0,0.0,185.0,6.86,920.0,720.0,28,56.83350668
154.8,183.4,0.0,193.3,9.1,877.2,867.7,28,23.786922
284.0,15.0,141.0,179.0,5.46,842.0,801.0,28,43.733462679999995
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,3,15.87173752
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,3,15.520104759999999
143.0,169.0,143.0,191.0,8.0,967.0,643.0,28,29.72331036
325.0,0.0,0.0,184.0,0.0,1063.0,783.0,7,17.54026944
321.4,0.0,127.9,182.5,11.5,870.1,779.7,28,37.265488323999996
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,14,36.93522932
375.0,93.8,0.0,126.6,23.4,852.1,992.6,56,60.19814956
427.5,47.5,0.0,228.0,0.0,932.0,594.0,7,35.076402024
531.3,0.0,0.0,141.8,28.2,852.1,893.7,56,58.798513279999995
252.0,97.0,76.0,194.0,8.0,835.0,821.0,28,33.398217439999996
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,56,32.8535314
198.6,132.4,0.0,192.0,0.0,978.4,825.5,7,14.638264955999999
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,3,15.43736764
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.29715436
250.0,0.0,95.69,191.84,5.33,948.9,857.2,100,41.1617172
288.0,192.0,0.0,192.0,0.0,932.0,717.8,28,38.804398756000005
173.0,116.0,0.0,192.0,0.0,946.8,856.8,7,11.392211948
339.0,0.0,0.0,197.0,0.0,968.0,781.0,14,27.04124872
446.0,24.0,79.0,162.0,10.3,967.0,712.0,56,54.765078679999995
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,28,59.79825348
116.0,173.0,0.0,192.0,0.0,909.8,891.9,7,10.089791784
116.0,173.0,0.0,192.0,0.0,909.8,891.9,90,31.023662096000002
491.0,26.0,123.0,210.0,3.93,882.0,699.0,28,55.55108132
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,47.029847436000004
150.9,0.0,183.9,166.6,11.6,991.2,772.2,28,15.569747031999999
331.0,0.0,0.0,192.0,0.0,978.0,825.0,3,13.52062436
318.0,0.0,126.0,210.0,6.0,861.0,737.0,28,40.0585556
491.0,26.0,123.0,210.0,3.93,882.0,699.0,7,33.488834284729315
424.0,22.0,132.0,168.0,8.92,822.0,750.0,7,40.28509771527068
143.0,169.4,142.7,190.7,8.4,967.4,643.5,28,29.726068263999995
424.0,22.0,132.0,178.0,8.48,882.0,750.0,3,32.01138571527068
272.8,181.9,0.0,185.7,0.0,1012.4,714.3,28,31.38150014
200.0,133.0,0.0,192.0,0.0,965.4,806.2,3,11.414275179999999
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,270,67.11359384
153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,16.503987012
366.0,187.0,0.0,191.3,6.6,824.3,756.9,28,65.909079268
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,28,41.40992856
250.0,180.0,95.0,159.0,9.45,860.0,800.0,28,67.86512268
446.0,24.0,79.0,162.0,10.3,967.0,712.0,28,53.38612668
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,270,55.15808
141.3,212.0,0.0,203.5,0.0,971.8,748.5,3,4.827710952
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,100,50.93848688
153.0,102.0,0.0,192.0,0.0,888.0,943.1,90,26.322814728
190.0,190.0,0.0,228.0,0.0,932.0,670.0,180,46.931941843999994
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,3,21.91154728
276.0,116.0,90.0,180.0,9.0,870.0,768.0,28,44.27814872
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,56,60.32225524
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,56,51.72448952
446.0,24.0,79.0,162.0,11.64,967.0,712.0,7,39.300132
337.9,189.0,0.0,174.9,9.5,944.7,755.8,28,49.89737812
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3011712
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.28978986
359.0,19.0,141.0,154.0,10.91,942.0,801.0,56,68.75060685418796
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,28,37.42475728
236.0,0.0,0.0,193.0,0.0,968.0,885.0,7,9.99050724
233.81,0.0,94.58,197.89,4.567,947.04,852.16,56,27.66177712
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.2946762
238.0,0.0,0.0,186.0,0.0,1119.0,789.0,7,12.052040479999999
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.29715436
144.8,0.0,133.6,180.8,11.1,979.5,811.5,28,13.202086448
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,180,51.04190828
339.0,0.0,0.0,197.0,0.0,968.0,781.0,180,36.44570136
135.0,105.0,193.0,196.0,6.0,965.0,643.0,28,21.91154728
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,65.19685056
302.0,0.0,0.0,203.0,0.0,974.0,817.0,28,21.7529678
307.0,0.0,0.0,193.0,0.0,968.0,812.0,28,27.53077668
164.0,163.0,128.0,197.0,8.0,961.0,641.0,28,27.234302
108.3,162.4,0.0,203.5,0.0,938.2,849.0,7,7.723510152
249.1,0.0,98.75,158.11,12.8,987.76,889.01,100,51.0556978
331.0,0.0,0.0,192.0,0.0,978.0,825.0,28,31.44700036
139.9,132.6,103.3,200.3,7.4,916.0,753.4,28,36.443632932
150.7,0.0,185.3,166.7,15.6,1074.5,678.0,28,13.461329424
313.0,0.0,113.0,178.0,8.0,1002.0,689.0,28,36.80422888
153.0,102.0,0.0,192.0,0.0,888.0,943.1,3,4.782205536
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,56,61.99078716
252.31,0.0,98.75,146.25,14.17,987.76,889.01,14,42.29245784
277.0,0.0,0.0,191.0,0.0,968.0,856.0,90,31.25394708
170.3,155.5,0.0,185.7,0.0,1026.6,724.3,28,25.726417988
480.0,0.0,0.0,192.0,0.0,936.2,712.2,28,43.942373908
220.8,147.2,0.0,185.7,0.0,1055.0,744.3,7,13.089012384
153.0,102.0,0.0,192.0,0.0,888.0,943.1,7,8.374375495999999
424.0,22.0,132.0,168.0,8.92,822.0,750.0,28,72.09850532
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,28,31.11605188
266.2,112.3,87.5,177.9,10.4,909.7,744.5,28,39.421479776
469.0,117.2,0.0,137.8,32.2,852.1,840.5,3,40.1964508
155.0,0.0,143.0,193.0,9.0,1047.0,697.0,28,12.45883132
277.0,0.0,0.0,191.0,0.0,968.0,856.0,3,11.36256448
359.0,19.0,141.0,154.0,10.91,942.0,801.0,56,66.78067543054136
300.0,0.0,0.0,184.0,0.0,1075.0,795.0,7,15.575262839999999
275.0,180.0,120.0,162.0,10.35,830.0,765.0,28,76.23536132
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,28,37.437857324
393.0,0.0,0.0,192.0,0.0,940.0,758.0,28,39.58281716
186.2,124.1,0.0,185.7,0.0,1083.4,764.3,7,7.995853172
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,14,31.812422639999998
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,52.908319811999995
122.6,183.9,0.0,203.5,0.0,958.2,800.1,3,3.31982694
427.5,47.5,0.0,228.0,0.0,932.0,594.0,28,37.427515183999994
336.5,0.0,0.0,181.9,3.4,985.8,816.8,28,44.868340176000004
194.68,0.0,100.52,165.62,7.48,1006.4,905.9,14,24.986610239999997
149.0,139.0,109.0,193.0,6.0,892.0,780.0,28,23.69039536
255.0,0.0,0.0,192.0,0.0,889.8,945.0,28,18.746162964
375.0,93.8,0.0,126.6,23.4,852.1,992.6,3,28.99936056
295.71,0.0,95.64,171.54,8.87,955.14,859.2,56,48.718374159999996
359.0,19.0,141.0,154.0,10.91,942.0,801.0,3,23.639177145812038
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,100,66.9481196
284.0,120.0,0.0,168.0,7.0,970.0,794.0,28,40.93419012
255.0,0.0,0.0,192.0,0.0,889.8,945.0,90,21.859147104
313.0,145.0,0.0,127.0,8.0,1000.0,822.0,28,44.51946532
288.0,192.0,0.0,192.0,0.0,932.0,717.8,90,50.526869708
318.8,212.5,0.0,155.7,14.3,852.1,880.4,28,55.495923239999996
305.3,203.5,0.0,203.5,0.0,965.4,631.0,28,43.377003588
151.0,0.0,184.0,167.0,12.0,991.0,772.0,28,15.568368079999999
250.0,0.0,95.69,191.84,5.33,948.9,857.2,56,39.64487
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,3,7.3153403599999995
155.6,243.5,0.0,180.3,10.7,1022.0,697.7,28,37.363393916
213.5,0.0,174.24,154.61,11.66,1052.3,775.48,56,51.4349096
531.3,0.0,0.0,141.8,28.2,852.1,893.7,3,41.2996124
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,100,56.7438748
184.0,86.0,190.0,213.0,6.0,923.0,623.0,28,22.93197176
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,100,39.2311844
316.1,210.7,0.0,185.7,0.0,977.0,689.3,7,24.437787344
393.0,0.0,0.0,192.0,0.0,940.6,785.6,3,19.199148695999998
102.0,153.0,0.0,192.0,0.0,887.0,942.0,3,4.565020596
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,28,24.84871504
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,3,10.76272036
296.0,0.0,0.0,186.0,0.0,1090.0,769.0,28,25.17966352
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,56,53.46196904
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,56,53.72396992
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365,53.69225402399999
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28,28.021683592
252.31,0.0,98.75,146.25,14.17,987.76,889.01,100,60.949678399999996
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,38.074243671999994
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,180,41.05140104
262.0,111.0,86.0,195.0,5.0,895.0,733.0,28,33.7153764
154.8,0.0,142.8,193.3,9.1,1047.4,696.7,28,12.459520796
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,3,7.74971024
252.31,0.0,98.75,146.25,14.17,987.76,889.01,28,50.60064364
374.0,189.2,0.0,170.1,10.1,926.1,756.7,7,46.20178676
339.0,0.0,0.0,197.0,0.0,968.0,781.0,365,38.89334116
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,100,39.6103962
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,100,53.90323368
375.0,0.0,0.0,186.0,0.0,1038.0,758.0,28,38.21075992
331.0,170.0,0.0,195.0,8.0,811.0,802.0,28,56.61287436
393.0,0.0,0.0,192.0,0.0,940.6,785.6,28,39.604880392
295.71,0.0,95.64,171.54,8.87,955.14,859.2,14,35.2322236
393.0,0.0,0.0,192.0,0.0,940.6,785.6,90,48.846616696
200.0,0.0,0.0,180.0,0.0,1125.0,845.0,7,7.8393421199999995
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,56,43.49904084
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,7,18.12632404
183.9,122.6,0.0,203.5,0.0,959.2,800.0,90,32.53292506
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7,26.258003984
