instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
4278,02-07-2011,3,0,7,3,0,6,0,1,0.64,0.6212,0.53,0,26
5763,02-09-2011,3,0,9,13,0,5,1,2,0.68,0.6364,0.65,0.1343,279
8382,20-12-2011,4,0,12,21,0,2,1,1,0.36,0.3636,0.66,0.0896,143
11827,12-05-2012,2,1,5,23,0,6,0,1,0.58,0.5455,0.56,0.0896,176
7148,30-10-2011,4,0,10,10,0,0,0,1,0.32,0.3333,0.61,0.0896,178
2627,24-04-2011,2,0,4,8,0,0,0,1,0.52,0.5,0.94,0.2239,80
5382,17-08-2011,3,0,8,3,0,3,1,1,0.64,0.5909,0.78,0,5
4912,28-07-2011,3,0,7,13,0,4,1,1,0.86,0.803,0.47,0.2537,152
16855,10-12-2012,4,1,12,1,0,1,1,2,0.36,0.3788,1,0,4
4978,31-07-2011,3,0,7,7,0,0,0,1,0.74,0.6818,0.58,0.1343,45
414,19-01-2011,1,0,1,6,0,3,1,2,0.22,0.2576,0.93,0.0896,32
16793,07-12-2012,4,1,12,11,0,5,1,2,0.32,0.3182,0.76,0.194,203
4591,15-07-2011,3,0,7,4,0,5,1,1,0.6,0.5909,0.73,0.1642,10
3460,29-05-2011,2,0,5,1,0,0,0,1,0.62,0.5606,0.88,0.1642,66
11944,17-05-2012,2,1,5,20,0,4,1,1,0.6,0.6212,0.4,0.194,446
16355,19-11-2012,4,1,11,4,0,1,1,2,0.36,0.3485,0.66,0.2239,12
5845,05-09-2011,3,0,9,23,1,1,0,3,0.56,0.5303,0.88,0.3881,20
6826,16-10-2011,4,0,10,23,0,0,0,1,0.56,0.5303,0.52,0.4179,62
3534,01-06-2011,2,0,6,3,0,3,1,1,0.68,0.6364,0.89,0.194,6
4579,14-07-2011,3,0,7,16,0,4,1,1,0.76,0.6667,0.33,0.1343,274
2534,20-04-2011,2,0,4,11,0,3,1,1,0.62,0.6061,0.69,0.0896,118
14185,19-08-2012,3,1,8,5,0,0,0,2,0.6,0.5909,0.73,0.1343,11
3455,28-05-2011,2,0,5,20,0,6,0,1,0.7,0.6515,0.65,0.2239,196
5036,02-08-2011,3,0,8,17,0,2,1,2,0.9,0.7879,0.27,0.1343,556
5193,09-08-2011,3,0,8,6,0,2,1,1,0.72,0.6667,0.64,0,101
15704,21-10-2012,4,1,10,12,0,0,0,1,0.54,0.5152,0.39,0.3284,675
13225,10-07-2012,3,1,7,5,0,2,1,1,0.66,0.6061,0.83,0.1343,42
17189,23-12-2012,1,1,12,23,0,0,0,1,0.24,0.2879,0.6,0,25
6662,10-10-2011,4,0,10,3,1,1,0,1,0.46,0.4545,0.88,0,11
10953,06-04-2012,2,1,4,12,0,5,1,1,0.42,0.4242,0.35,0.2985,337
9802,18-02-2012,1,1,2,8,0,6,0,1,0.22,0.2727,0.87,0,102
6209,21-09-2011,3,0,9,6,0,3,1,2,0.54,0.5152,1,0.194,117
1384,02-03-2011,1,0,3,22,0,3,1,1,0.3,0.2576,0.26,0.5522,48
12612,14-06-2012,2,1,6,16,0,4,1,1,0.72,0.6667,0.51,0.2836,438
3922,17-06-2011,2,0,6,7,0,5,1,1,0.6,0.5606,0.83,0,250
3988,20-06-2011,2,0,6,1,0,1,1,1,0.64,0.5758,0.89,0.0896,12
4672,18-07-2011,3,0,7,13,0,1,1,1,0.82,0.7879,0.56,0.2537,152
9082,19-01-2012,1,1,1,7,0,4,1,1,0.12,0.1667,0.54,0.0896,206
10174,04-03-2012,1,1,3,23,0,0,0,1,0.26,0.2576,0.41,0.194,26
16896,11-12-2012,4,1,12,18,0,2,1,1,0.32,0.303,0.53,0.2239,546
7956,03-12-2011,4,0,12,3,0,6,0,1,0.24,0.2424,0.7,0.1343,9
12894,26-06-2012,3,1,6,10,0,2,1,1,0.62,0.6212,0.41,0.3582,190
16003,04-11-2012,4,1,11,11,0,0,0,1,0.38,0.3939,0.46,0.2239,445
10214,06-03-2012,1,1,3,15,0,2,1,1,0.34,0.303,0.36,0.2985,166
11484,28-04-2012,2,1,4,16,0,6,0,2,0.44,0.4394,0.38,0.194,376
6216,21-09-2011,3,0,9,13,0,3,1,2,0.66,0.6212,0.74,0.1642,181
277,12-01-2011,1,0,1,23,0,3,1,1,0.14,0.1061,0.59,0.4179,20
16643,01-12-2012,4,1,12,5,0,6,0,1,0.24,0.2576,0.87,0.0896,13
30,02-01-2011,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,2
11224,17-04-2012,2,1,4,20,0,2,1,1,0.6,0.6061,0.23,0.2836,402
5086,04-08-2011,3,0,8,19,0,4,1,1,0.7,0.6667,0.74,0.2836,366
14580,04-09-2012,3,1,9,16,0,2,1,1,0.76,0.7273,0.7,0.4179,458
15686,20-10-2012,4,1,10,18,0,6,0,1,0.52,0.5,0.39,0.2239,521
3097,13-05-2011,2,0,5,22,0,5,1,2,0.52,0.5,0.83,0.2239,132
10104,02-03-2012,1,1,3,1,0,5,1,1,0.34,0.3182,0.49,0.2239,20
5749,01-09-2011,3,0,9,23,0,4,1,1,0.64,0.6061,0.65,0.2537,126
986,13-02-2011,1,0,2,17,0,0,0,1,0.42,0.4242,0.28,0.3284,125
10074,29-02-2012,1,1,2,19,0,3,1,2,0.4,0.4091,0.87,0.1045,102
17058,18-12-2012,4,1,12,12,0,2,1,3,0.48,0.4697,0.48,0.2537,313
9111,20-01-2012,1,1,1,12,0,5,1,2,0.2,0.1818,0.34,0.3284,124
728,02-02-2011,1,0,2,16,0,3,1,1,0.36,0.3333,0.71,0.2985,103
4273,01-07-2011,3,0,7,22,0,5,1,1,0.7,0.6364,0.42,0,222
13765,01-08-2012,3,1,8,17,0,3,1,1,0.8,0.7424,0.49,0.1642,837
8283,16-12-2011,4,0,12,18,0,5,1,2,0.32,0.303,0.45,0.2537,295
1215,23-02-2011,1,0,2,16,0,3,1,1,0.34,0.3636,0.25,0,94
14886,17-09-2012,3,1,9,10,0,1,1,2,0.62,0.6061,0.65,0.194,202
10304,10-03-2012,1,1,3,9,0,6,0,1,0.24,0.2121,0.41,0.3284,148
7274,04-11-2011,4,0,11,16,0,5,1,1,0.46,0.4545,0.36,0.3881,290
10410,14-03-2012,1,1,3,20,0,3,1,1,0.62,0.6212,0.35,0.1045,330
5063,03-08-2011,3,0,8,20,0,3,1,3,0.7,0.6667,0.84,0.1045,87
2252,08-04-2011,2,0,4,16,0,5,1,2,0.32,0.303,0.93,0.2537,60
8359,19-12-2011,4,0,12,22,0,1,1,2,0.36,0.3485,0.57,0.1642,107
17305,28-12-2012,1,1,12,21,0,5,1,2,0.24,0.2424,0.7,0.1343,92
858,08-02-2011,1,0,2,4,0,2,1,1,0.26,0.2576,0.93,0.1642,3
16480,24-11-2012,4,1,11,9,0,6,0,2,0.26,0.2121,0.41,0.4478,122
72,04-01-2011,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,1
15694,21-10-2012,4,1,10,2,0,0,0,1,0.4,0.4091,0.62,0.1642,132
1452,05-03-2011,1,0,3,18,0,6,0,2,0.48,0.4697,0.59,0.3284,152
9676,13-02-2012,1,1,2,2,0,1,1,1,0.14,0.1364,0.46,0.194,4
4913,28-07-2011,3,0,7,14,0,4,1,2,0.84,0.7879,0.49,0.2537,138
3498,30-05-2011,2,0,5,15,1,1,0,1,0.88,0.803,0.39,0.2537,311
8289,17-12-2011,4,0,12,0,0,6,0,1,0.3,0.2879,0.49,0.2836,62
15068,25-09-2012,4,1,9,0,0,2,1,1,0.46,0.4545,0.67,0.1642,64
14464,30-08-2012,3,1,8,20,0,4,1,1,0.74,0.6818,0.58,0.1642,471
16822,08-12-2012,4,1,12,16,0,6,0,1,0.42,0.4242,0.82,0.1642,507
9423,02-02-2012,1,1,2,12,0,4,1,1,0.42,0.4242,0.82,0,148
8886,11-01-2012,1,1,1,2,0,3,1,1,0.2,0.2121,0.85,0.1642,5
1209,23-02-2011,1,0,2,10,0,3,1,1,0.2,0.2576,0.4,0,51
12408,06-06-2012,2,1,6,4,0,3,1,1,0.46,0.4545,0.82,0.1045,10
4590,15-07-2011,3,0,7,3,0,5,1,1,0.6,0.5909,0.73,0.194,7
6339,26-09-2011,4,0,9,16,0,1,1,1,0.7,0.6515,0.65,0.1642,313
16429,22-11-2012,4,1,11,6,1,4,0,1,0.26,0.2727,0.7,0.1045,17
17167,23-12-2012,1,1,12,1,0,0,0,1,0.22,0.2273,0.47,0.194,20
8869,10-01-2012,1,1,1,9,0,2,1,2,0.18,0.197,0.93,0.1642,195
11239,18-04-2012,2,1,4,11,0,3,1,3,0.46,0.4545,0.47,0.2537,119
7435,11-11-2011,4,0,11,9,1,5,0,1,0.32,0.2879,0.45,0.4478,201
8410,22-12-2011,1,0,12,1,0,4,1,1,0.44,0.4394,0.94,0.0896,15
10989,08-04-2012,2,1,4,0,0,0,0,1,0.44,0.4394,0.24,0.2239,85
4365,05-07-2011,3,0,7,18,0,2,1,1,0.8,0.7576,0.55,0.1642,496
876,08-02-2011,1,0,2,22,0,2,1,1,0.12,0.1061,0.33,0.3582,29
13151,07-07-2012,3,1,7,3,0,6,0,1,0.74,0.7121,0.74,0.1343,31
14141,17-08-2012,3,1,8,9,0,5,1,1,0.7,0.2424,0.58,0.1045,378
10429,15-03-2012,1,1,3,15,0,4,1,1,0.72,0.6515,0.32,0.2239,287
5703,31-08-2011,3,0,8,1,0,3,1,1,0.6,0.5909,0.69,0,15
14087,15-08-2012,3,1,8,3,0,3,1,1,0.66,0.6212,0.74,0.1045,11
17306,28-12-2012,1,1,12,22,0,5,1,2,0.24,0.2576,0.7,0.0896,62
7867,29-11-2011,4,0,11,10,0,2,1,3,0.56,0.5303,0.73,0.4179,36
320,14-01-2011,1,0,1,19,0,5,1,1,0.16,0.197,0.59,0.0896,92
2888,05-05-2011,2,0,5,5,0,4,1,1,0.34,0.3182,0.66,0.2537,30
7000,24-10-2011,4,0,10,6,0,1,1,1,0.4,0.4091,0.87,0.1045,86
1008,14-02-2011,1,0,2,15,0,1,1,1,0.56,0.5303,0.21,0.6567,90
2842,03-05-2011,2,0,5,7,0,2,1,2,0.54,0.5152,0.88,0.2239,265
2517,19-04-2011,2,0,4,18,0,2,1,2,0.54,0.5152,0.64,0.1343,421
3581,03-06-2011,2,0,6,2,0,5,1,1,0.56,0.5303,0.43,0.2239,12
2083,01-04-2011,2,0,4,15,0,5,1,1,0.34,0.303,0.46,0.4179,111
12091,23-05-2012,2,1,5,23,0,3,1,1,0.6,0.5606,0.83,0.1343,106
15999,04-11-2012,4,1,11,7,0,0,0,1,0.26,0.2727,0.65,0.1045,50
10740,28-03-2012,2,1,3,14,0,3,1,1,0.62,0.6212,0.38,0.3582,221
9327,29-01-2012,1,1,1,12,0,0,0,1,0.32,0.303,0.26,0.2239,288
10951,06-04-2012,2,1,4,10,0,5,1,1,0.36,0.3333,0.4,0.3284,238
8047,06-12-2011,4,0,12,22,0,2,1,3,0.46,0.4545,1,0.1642,87
7675,21-11-2011,4,0,11,9,0,1,1,2,0.48,0.4697,0.94,0.1045,237
6900,20-10-2011,4,0,10,2,0,4,1,1,0.56,0.5303,0.88,0.4478,4
15360,07-10-2012,4,1,10,4,0,0,0,2,0.44,0.4394,0.54,0.2537,11
5979,11-09-2011,3,0,9,15,0,0,0,1,0.74,0.6667,0.51,0.2985,404
477,21-01-2011,1,0,1,21,0,5,1,1,0.08,0.0758,0.38,0.2836,41
7157,30-10-2011,4,0,10,19,0,0,0,1,0.56,0.5303,0.49,0.2985,153
13709,30-07-2012,3,1,7,9,0,1,1,2,0.74,0.697,0.7,0,293
16842,09-12-2012,4,1,12,12,0,0,0,2,0.4,0.4091,0.82,0.2985,315
548,24-01-2011,1,0,1,23,0,1,1,2,0.16,0.1515,0.64,0.2537,24
12286,01-06-2012,2,1,6,2,0,5,1,1,0.64,0.6212,0.57,0.2239,16
2530,20-04-2011,2,0,4,7,0,3,1,1,0.44,0.4394,0.94,0,237
12878,25-06-2012,3,1,6,18,0,1,1,1,0.76,0.6667,0.27,0.4478,791
3865,14-06-2011,2,0,6,22,0,2,1,1,0.58,0.5455,0.6,0.2239,188
8287,16-12-2011,4,0,12,22,0,5,1,2,0.3,0.303,0.49,0.1642,106
15013,22-09-2012,3,1,9,17,0,6,0,1,0.74,0.6667,0.51,0.3284,646
8582,29-12-2011,1,0,12,8,0,4,1,2,0.2,0.2576,0.64,0,210
13305,13-07-2012,3,1,7,13,0,5,1,2,0.8,0.7121,0.38,0.1343,374
7552,16-11-2011,4,0,11,6,0,3,1,2,0.46,0.4545,0.94,0.0896,56
978,13-02-2011,1,0,2,9,0,0,0,2,0.24,0.2273,0.6,0.2239,47
4746,21-07-2011,3,0,7,15,0,4,1,1,0.9,0.9242,0.53,0.2537,133
15574,16-10-2012,4,1,10,2,0,2,1,1,0.44,0.4394,0.67,0.1343,3
3368,25-05-2011,2,0,5,5,0,3,1,1,0.56,0.5303,0.88,0.0896,25
7491,13-11-2011,4,0,11,17,0,0,0,1,0.52,0.5,0.27,0.3284,231
5953,10-09-2011,3,0,9,13,0,6,0,1,0.74,0.6818,0.55,0.2836,370
2813,02-05-2011,2,0,5,2,0,1,1,2,0.44,0.4394,0.77,0.2239,35
7326,06-11-2011,4,0,11,20,0,0,0,1,0.36,0.3636,0.81,0.1045,116
13980,10-08-2012,3,1,8,16,0,5,1,1,0.78,0.7273,0.55,0.2985,467
4418,07-07-2011,3,0,7,23,0,4,1,1,0.72,0.6818,0.66,0,129
872,08-02-2011,1,0,2,18,0,2,1,1,0.2,0.1818,0.32,0.3881,152
7373,08-11-2011,4,0,11,19,0,2,1,1,0.46,0.4545,0.59,0,278
2896,05-05-2011,2,0,5,13,0,4,1,1,0.54,0.5152,0.3,0.5821,192
12990,30-06-2012,3,1,6,10,0,6,0,1,0.88,0.7727,0.3,0.2537,404
9321,29-01-2012,1,1,1,6,0,0,0,1,0.2,0.2273,0.4,0.1045,5
15000,22-09-2012,3,1,9,4,0,6,0,1,0.56,0.5303,0.83,0.2836,15
17312,29-12-2012,1,1,12,4,0,6,0,2,0.24,0.2424,0.75,0.0896,3
9325,29-01-2012,1,1,1,10,0,0,0,1,0.24,0.2424,0.35,0.1343,191
6474,02-10-2011,4,0,10,7,0,0,0,1,0.34,0.3333,0.76,0.194,29
162,08-01-2011,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,25
420,19-01-2011,1,0,1,12,0,3,1,2,0.3,0.3182,0.81,0.0896,70
14169,18-08-2012,3,1,8,13,0,6,0,1,0.74,0.6515,0.4,0.194,644
2126,03-04-2011,2,0,4,10,0,0,0,1,0.4,0.4091,0.43,0.4179,215
8979,14-01-2012,1,1,1,23,0,6,0,1,0.16,0.1515,0.47,0.2239,76
7177,31-10-2011,4,0,10,15,0,1,1,1,0.44,0.4394,0.47,0.1642,168
2225,07-04-2011,2,0,4,13,0,4,1,2,0.52,0.5,0.48,0.0896,135
12984,30-06-2012,3,1,6,4,0,6,0,2,0.62,0.5455,0.94,0,18
5539,23-08-2011,3,0,8,16,0,2,1,1,0.72,0.6515,0.32,0.1343,444
7765,25-11-2011,4,0,11,3,0,5,1,1,0.28,0.2879,0.75,0.1045,2
11098,12-04-2012,2,1,4,14,0,4,1,1,0.5,0.4848,0.31,0.3284,224
3447,28-05-2011,2,0,5,12,0,6,0,1,0.72,0.6667,0.58,0.2537,358
10624,23-03-2012,2,1,3,18,0,5,1,1,0.7,0.6364,0.45,0.1642,830
16010,04-11-2012,4,1,11,18,0,0,0,1,0.36,0.3485,0.43,0.2239,237
7599,18-11-2011,4,0,11,5,0,5,1,1,0.22,0.2273,0.44,0.1343,22
5707,31-08-2011,3,0,8,5,0,3,1,1,0.54,0.5152,0.83,0.0896,27
4873,26-07-2011,3,0,7,22,0,2,1,1,0.76,0.697,0.55,0.1343,158
16201,12-11-2012,4,1,11,18,1,1,0,1,0.52,0.5,0.72,0.1343,551
5816,04-09-2011,3,0,9,18,0,0,0,1,0.76,0.7273,0.66,0.194,356
2486,18-04-2011,2,0,4,11,0,1,1,2,0.54,0.5152,0.52,0.0896,123
12520,10-06-2012,2,1,6,20,0,0,0,1,0.76,0.6818,0.48,0.1642,363
135,06-01-2011,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,69
17330,29-12-2012,1,1,12,22,0,6,0,2,0.26,0.2424,0.6,0.4627,54
6073,15-09-2011,3,0,9,14,0,4,1,2,0.64,0.6061,0.65,0.4179,170
712,02-02-2011,1,0,2,0,0,3,1,3,0.22,0.2424,0.93,0.1045,2
5746,01-09-2011,3,0,9,20,0,4,1,1,0.66,0.6212,0.61,0.2239,280
11754,09-05-2012,2,1,5,22,0,3,1,3,0.48,0.4697,0.82,0.1045,67
10620,23-03-2012,2,1,3,14,0,5,1,2,0.72,0.6515,0.42,0.1045,432
13772,02-08-2012,3,1,8,0,0,4,1,1,0.7,0.6667,0.74,0,63
15933,01-11-2012,4,1,11,13,0,4,1,2,0.4,0.4091,0.58,0.1642,248
7641,19-11-2011,4,0,11,23,0,6,0,1,0.38,0.3939,0.62,0.2239,93
13968,10-08-2012,3,1,8,4,0,5,1,3,0.7,0.6667,0.84,0.2836,7
11048,10-04-2012,2,1,4,11,0,2,1,1,0.5,0.4848,0.36,0,239
3983,19-06-2011,2,0,6,20,0,0,0,1,0.7,0.6515,0.7,0.194,232
14057,13-08-2012,3,1,8,21,0,1,1,1,0.72,0.6818,0.66,0.194,290
413,19-01-2011,1,0,1,5,0,3,1,2,0.22,0.2576,0.93,0.0896,7
15951,02-11-2012,4,1,11,7,0,5,1,2,0.3,0.303,0.7,0.1343,357
363,16-01-2011,1,0,1,14,0,0,0,1,0.28,0.2727,0.36,0.2537,91
11197,16-04-2012,2,1,4,17,1,1,0,1,0.8,0.697,0.33,0.3881,712
5880,07-09-2011,3,0,9,11,0,3,1,3,0.6,0.5152,0.94,0,10
5018,01-08-2011,3,0,8,23,0,1,1,1,0.68,0.6364,0.74,0.194,96
8570,28-12-2011,1,0,12,20,0,3,1,1,0.24,0.2273,0.41,0.2239,79
13812,03-08-2012,3,1,8,16,0,5,1,2,0.86,0.7879,0.41,0.2239,492
15591,16-10-2012,4,1,10,19,0,2,1,1,0.48,0.4697,0.48,0,531
15252,02-10-2012,4,1,10,16,0,2,1,3,0.62,0.5606,0.88,0.1343,374
16319,17-11-2012,4,1,11,16,0,6,0,1,0.4,0.4091,0.4,0.2239,469
3653,06-06-2011,2,0,6,2,0,1,1,1,0.58,0.5455,0.88,0.1045,8
1400,03-03-2011,1,0,3,14,0,4,1,1,0.24,0.2576,0.21,0.1045,78
5647,28-08-2011,3,0,8,17,0,0,0,1,0.76,0.6818,0.4,0.2985,398
2239,08-04-2011,2,0,4,3,0,5,1,3,0.34,0.3333,0.76,0.1642,1
5440,19-08-2011,3,0,8,13,0,5,1,2,0.76,0.7121,0.62,0.194,232
3510,31-05-2011,2,0,5,3,0,2,1,2,0.64,0.5606,0.94,0,4
8333,18-12-2011,4,0,12,20,0,0,0,1,0.24,0.2576,0.6,0.1045,104
2025,30-03-2011,2,0,3,5,0,3,1,2,0.3,0.2879,0.56,0.194,7
4545,13-07-2011,3,0,7,6,0,3,1,1,0.74,0.6818,0.58,0.1642,121
1938,26-03-2011,2,0,3,12,0,6,0,1,0.3,0.2879,0.36,0.194,227
1523,08-03-2011,1,0,3,19,0,2,1,1,0.34,0.3485,0.31,0.1045,150
3059,12-05-2011,2,0,5,8,0,4,1,1,0.48,0.4697,0.82,0.194,421
2329,11-04-2011,2,0,4,22,0,1,1,2,0.64,0.6212,0.5,0.2836,91
7678,21-11-2011,4,0,11,12,0,1,1,2,0.5,0.4848,0.77,0.1343,162
10893,04-04-2012,2,1,4,0,0,3,1,1,0.48,0.4697,0.48,0,41
12306,01-06-2012,2,1,6,22,0,5,1,3,0.6,0.5455,0.88,0.1343,23
8649,01-01-2012,1,1,1,3,0,0,0,1,0.3,0.3333,0.81,0,52
15991,03-11-2012,4,1,11,23,0,6,0,1,0.32,0.3333,0.57,0.1045,148
1069,17-02-2011,1,0,2,6,0,4,1,1,0.3,0.303,0.7,0.1343,47
4752,21-07-2011,3,0,7,21,0,4,1,1,0.82,0.8939,0.75,0.2239,225
8905,11-01-2012,1,1,1,21,0,3,1,3,0.34,0.3182,0.87,0.2239,29
6530,04-10-2011,4,0,10,15,0,2,1,1,0.58,0.5455,0.56,0.2836,194
6634,08-10-2011,4,0,10,23,0,6,0,1,0.48,0.4697,0.88,0,142
4981,31-07-2011,3,0,7,10,0,0,0,1,0.84,0.7424,0.36,0.1642,254
14531,02-09-2012,3,1,9,15,0,0,0,3,0.74,0.7121,0.74,0.1343,355
242,11-01-2011,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,54
9880,21-02-2012,1,1,2,16,0,2,1,1,0.36,0.3333,0.46,0.4179,254
13879,06-08-2012,3,1,8,11,0,1,1,1,0.76,0.7273,0.66,0.1343,260
11913,16-05-2012,2,1,5,13,0,3,1,1,0.72,0.6515,0.42,0,350
17142,22-12-2012,1,1,12,0,0,6,0,1,0.26,0.2121,0.44,0.5821,31
4778,22-07-2011,3,0,7,23,0,5,1,1,0.8,0.7879,0.63,0.194,103
16171,11-11-2012,4,1,11,12,0,0,0,1,0.5,0.4848,0.48,0.0896,585
378,17-01-2011,1,0,1,5,1,1,0,2,0.18,0.197,0.43,0.1642,1
8154,11-12-2011,4,0,12,9,0,0,0,1,0.2,0.2576,0.59,0,107
3461,29-05-2011,2,0,5,2,0,0,0,1,0.62,0.5606,0.88,0.1045,61
10834,01-04-2012,2,1,4,12,0,0,0,2,0.42,0.4242,0.67,0.2239,445
4055,22-06-2011,3,0,6,20,0,3,1,1,0.74,0.7121,0.74,0.1343,282
5006,01-08-2011,3,0,8,11,0,1,1,1,0.88,0.7727,0.32,0.1642,119
11723,08-05-2012,2,1,5,15,0,2,1,3,0.62,0.5909,0.73,0.2537,134
7854,28-11-2011,4,0,11,21,0,1,1,2,0.54,0.5152,0.77,0.2239,156
1582,11-03-2011,1,0,3,9,0,5,1,2,0.3,0.2879,0.61,0.2836,156
4663,18-07-2011,3,0,7,4,0,1,1,1,0.64,0.5909,0.78,0.1642,4
11779,10-05-2012,2,1,5,23,0,4,1,1,0.48,0.4697,0.48,0.1045,135
12932,28-06-2012,3,1,6,0,0,4,1,1,0.66,0.6212,0.5,0.1045,54
12818,23-06-2012,3,1,6,6,0,6,0,1,0.64,0.5758,0.83,0.0896,47
11061,11-04-2012,2,1,4,0,0,3,1,1,0.34,0.303,0.36,0.4179,30
15452,11-10-2012,4,1,10,0,0,4,1,1,0.44,0.4394,0.51,0.1343,42
4100,24-06-2011,3,0,6,17,0,5,1,1,0.76,0.6667,0.37,0.2537,557
7862,29-11-2011,4,0,11,5,0,2,1,1,0.5,0.4848,0.88,0.2836,22
8327,18-12-2011,4,0,12,14,0,0,0,1,0.3,0.2879,0.49,0.2836,219
15897,31-10-2012,4,1,10,1,0,3,1,2,0.3,0.3182,0.81,0.0896,8
9939,24-02-2012,1,1,2,3,0,5,1,1,0.42,0.4242,0.82,0.1343,5
9125,21-01-2012,1,1,1,2,0,6,0,3,0.14,0.2121,0.86,0,26
2919,06-05-2011,2,0,5,12,0,5,1,1,0.56,0.5303,0.49,0.3582,246
8119,09-12-2011,4,0,12,22,0,5,1,1,0.28,0.3182,0.87,0,129
14501,01-09-2012,3,1,9,9,0,6,0,2,0.76,0.7121,0.58,0.194,237
14895,17-09-2012,3,1,9,19,0,1,1,2,0.62,0.5909,0.73,0.1045,486
4509,11-07-2011,3,0,7,18,0,1,1,1,0.86,0.8333,0.53,0.3881,472
12590,13-06-2012,2,1,6,18,0,3,1,1,0.72,0.6515,0.32,0.4478,744
11912,16-05-2012,2,1,5,12,0,3,1,1,0.7,0.6515,0.54,0.194,330
2373,13-04-2011,2,0,4,18,0,3,1,1,0.44,0.4394,0.62,0.3881,321
3930,17-06-2011,2,0,6,15,0,5,1,1,0.78,0.697,0.43,0.2239,243
17199,24-12-2012,1,1,12,10,0,1,1,2,0.26,0.303,0.65,0,103
5588,25-08-2011,3,0,8,17,0,4,1,1,0.72,0.7121,0.84,0,312
8600,30-12-2011,1,0,12,2,0,5,1,1,0.24,0.2576,0.7,0.1045,12
8722,04-01-2012,1,1,1,5,0,3,1,1,0.02,0.0455,0.41,0.194,14
11906,16-05-2012,2,1,5,6,0,3,1,1,0.54,0.5152,0.94,0.0896,158
4211,29-06-2011,3,0,6,8,0,3,1,1,0.7,0.6515,0.48,0.2836,540
16256,15-11-2012,4,1,11,1,0,4,1,2,0.26,0.2727,0.65,0.1045,16
7776,25-11-2011,4,0,11,14,0,5,1,1,0.52,0.5,0.39,0.2239,272
16310,17-11-2012,4,1,11,7,0,6,0,1,0.24,0.2273,0.7,0.194,78
176,08-01-2011,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,95
637,29-01-2011,1,0,1,19,0,6,0,2,0.22,0.2121,0.69,0.2537,58
4927,29-07-2011,3,0,7,4,0,5,1,1,0.72,0.7121,0.84,0.1343,6
6130,17-09-2011,3,0,9,23,0,6,0,1,0.46,0.4545,0.82,0.1642,136
9956,24-02-2012,1,1,2,20,0,5,1,1,0.44,0.4394,0.62,0.4179,167
15075,25-09-2012,4,1,9,7,0,2,1,1,0.44,0.4394,0.77,0.194,556
6609,07-10-2011,4,0,10,22,0,5,1,1,0.5,0.4848,0.68,0,146
5435,19-08-2011,3,0,8,8,0,5,1,2,0.66,0.6061,0.83,0,398
3619,04-06-2011,2,0,6,16,0,6,0,2,0.72,0.6515,0.3,0.1343,440
7217,02-11-2011,4,0,11,7,0,3,1,1,0.3,0.3333,0.81,0,251
1711,16-03-2011,1,0,3,22,0,3,1,2,0.4,0.4091,0.62,0.3881,59
3335,23-05-2011,2,0,5,20,0,1,1,1,0.64,0.5758,0.83,0.2239,310
2161,04-04-2011,2,0,4,21,0,1,1,2,0.7,0.6364,0.3,0.4478,95
14576,04-09-2012,3,1,9,12,0,2,1,1,0.76,0.7273,0.7,0.2836,287
6531,04-10-2011,4,0,10,16,0,2,1,1,0.58,0.5455,0.56,0.3284,309
636,29-01-2011,1,0,1,18,0,6,0,1,0.22,0.2273,0.69,0.1343,68
6588,07-10-2011,4,0,10,1,0,5,1,1,0.44,0.4394,0.88,0,28
6274,23-09-2011,4,0,9,23,0,5,1,2,0.58,0.5455,1,0.1343,148
12296,01-06-2012,2,1,6,12,0,5,1,2,0.7,0.6667,0.74,0.3582,310
15813,26-10-2012,4,1,10,1,0,5,1,2,0.52,0.5,0.88,0.0896,36
2962,08-05-2011,2,0,5,7,0,0,0,2,0.46,0.4545,0.82,0,23
3206,18-05-2011,2,0,5,11,0,3,1,2,0.54,0.5152,0.94,0.0896,23
5368,16-08-2011,3,0,8,13,0,2,1,1,0.76,0.6818,0.48,0.2985,192
3558,02-06-2011,2,0,6,3,0,4,1,1,0.66,0.6212,0.44,0.1045,4
15071,25-09-2012,4,1,9,3,0,2,1,1,0.42,0.4242,0.71,0.0896,5
16381,20-11-2012,4,1,11,6,0,2,1,2,0.34,0.3333,0.71,0.1642,148
12466,08-06-2012,2,1,6,14,0,5,1,1,0.76,0.6667,0.31,0.3881,373
9164,22-01-2012,1,1,1,17,0,0,0,2,0.16,0.1818,0.8,0.1045,108
14820,14-09-2012,3,1,9,16,0,5,1,2,0.72,0.6667,0.51,0,563
8206,13-12-2011,4,0,12,13,0,2,1,1,0.4,0.4091,0.37,0.3284,127
7537,15-11-2011,4,0,11,15,0,2,1,2,0.54,0.5152,0.6,0.1343,191
5931,09-09-2011,3,0,9,15,0,5,1,1,0.74,0.697,0.66,0,188
