Timestamp,Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Other technologies/programming languages you use often,Yearly brutto salary (without bonus and stocks) in EUR,Yearly bonus + stocks in EUR,Annual brutto salary (without bonus and stocks) one year ago. Only answer if staying in the same country,Annual bonus+stocks one year ago. Only answer if staying in same country,Number of vacation days,Employment status,Сontract duration,Main language at work,Company size,Company type,Have you lost your job due to the coronavirus outbreak?,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week","Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR"
24/11/2020 14:03:07,33,Male,Munich,Backend Developer,15,3,Lead,Scala,"Javascript / Typescript, Java / Scala, SQL, AWS, Docker",100000,10000,98000,101,30,Full-time employee,Unlimited contract,English,11-50,Startup,No,,
24/11/2020 14:04:28,26,Male,Munich,ML Engineer,1.5,1.5,Junior,Python,"C/C++, PyTorch",58000,,55000,,30,Full-time employee,Unlimited contract,German,101-1000,Consulting / Agency,No,,
24/11/2020 14:06:46,30,Female,Frankfurt,QA Engineer,6,4,Senior,Bash,"Python, Java / Scala, SQL, AWS, Azure",70000,2000,70000,2000,30,Full-time employee,Unlimited contract,German,1000+,Bank ,No,,
24/11/2020 14:07:23,34,Male,Berlin,Software Engineer,14,5,Senior,C#,"Javascript / Typescript, .NET, SQL, AWS, Docker",72000,,65000,,26,Full-time employee,Unlimited contract,English,101-1000,Product,No,30,
24/11/2020 14:07:23,37,Male,Berlin,Team Lead,12,10,Head,Python,"Python, PHP, Javascript / Typescript, SQL, Docker",90000,,85000,,30,Full-time employee,Unlimited contract,English,11-50,Consulting / Agency,No,,
24/11/2020 14:13:21,38,Male,Frankfurt,Tech Lead,16,1,Lead,.Net,"Javascript / Typescript, .NET, SQL, AWS, Azure, Kubernetes, Docker",99000,112000,,,25,Full-time employee,,English,101-1000,Fintech,No,,
24/11/2020 14:13:25,28,Male,Munich,Network Administrator,9,3,Senior,Network,,61200,7300,53300,6200,30,Full-time employee,Unlimited contract,English,1000+,Automotive,No,,
24/11/2020 14:14:23,35,Male,Stuttgart,Security Manager,14,8,Senior,,"AWS, Google Cloud",80000,5000,53000,4000,30,Full-time employee,Unlimited contract,German,1000+,Product,No,0,
24/11/2020 14:17:20,31,Male,Berlin,QA Engineer,10,5,Senior,nothing,Python,60000,77000,67500,,28,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 14:21:40,29,Male,Düsseldorf,Consultant Data Analytics,1,1,Junior,Python,,45000,2000,,,30,Full-time employee,Unlimited contract,German,1000+,Consulting / Agency,No,,
24/11/2020 14:24:07,39,Male,Munich,BI IT Consultant,5,5,Middle,"Qlik BI Tool, SQL","Javascript / Typescript, SQL",56000,17000,53000,17000,30,Full-time employee,Unlimited contract,German,1000+,Product,No,36,
24/11/2020 14:26:28,31,Female,Berlin,Graphic Designer,11,2,Middle,,"Adobe Cloud, Sketch, 3Ds Max",32000,,21800,,27,Full-time employee,Temporary contract,English,101-1000,Startup,No,0,
24/11/2020 14:28:29,39,Male,Munich,Software Engineer,12,6,Lead,PHP,"Javascript / Typescript, Kubernetes, Docker",108000,,108000,,,Self-employed (freelancer),Unlimited contract,English,up to 10,Consulting / Agency,No,0,
24/11/2020 14:28:35,29,Male,Munich,Backend Developer,8,4,Senior,Java,SQL,95000,7000,74000,6000,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 14:29:49,36,Male,Nürnberg,Frontend Developer,1,0.5,Junior,Javascript,"PHP, SQL",37500,,,,28,Full-time employee,Temporary contract,German,up to 10,Startup,Yes,0,
24/11/2020 14:30:08,33,Male,Berlin,iOS Developer,10,2,Middle,Swift,"Ruby, Objective C",67000,,66000,,29,Full-time employee,Unlimited contract,English,1000+,Product,No,,500
24/11/2020 14:30:58,35,Male,Frankfurt,Banker,12,2,Senior,,,100000,32000,,,,Full-time employee,Unlimited contract,English,101-1000,Bank,No,,
24/11/2020 14:31:59,31,Male,Berlin,Data Engineer,9,5,Senior,Python,"Kotlin, SQL, AWS, Docker, Spark",81000,12150,80600,,,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 14:34:00,38,Male,Berlin,Backend Developer,11,1,Senior,Javascript,"Python, Javascript / Typescript, SQL, AWS, Docker",35000,,,,,Founder,Unlimited contract,English,up to 10,Startup,No,,
24/11/2020 14:34:18,37,Male,Berlin,Cloud Engineer,15,3,Senior,Cloud,"Python, .NET, Azure, Kubernetes, Docker",72000,10000,62000,7000,36,Full-time employee,Unlimited contract,English,1000+,Product,Yes,0,
24/11/2020 14:34:36,34,Male,Munich,Product Manager,7,"1,7",Middle,,,72000,,72000,,28,Full-time employee,Unlimited contract,English,101-1000,Startup,No,30,
24/11/2020 14:34:38,30,Male,Ansbach,Software Engineer,4,3,Junior,PHP,Javascript / Typescript,42000,,36000,,27,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 14:37:11,34,Male,Munich,Solutions architect,14,6,Head,Blockchain,"Python, Kotlin, Java / Scala, SQL, Go, AWS, Google Cloud, Kubernetes, Docker",95000,10000,85000,10000,24,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,400
24/11/2020 14:37:19,33,Male,Berlin,Backend Developer,12,2,Senior,PHP,"SQL, Go, AWS, Docker",67000,,65000,,26,Full-time employee,Unlimited contract,English,101-1000,,No,0,
24/11/2020 14:38:11,43,Male,Berlin,Backend Developer,5,1.5,Middle,Java,Kotlin,64000,6000,63000,6000,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,0,
24/11/2020 14:40:25,32,Female,Stuttgart,Stuttgart,2,2,Junior,Java,,52000,4000,48000,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 14:42:18,34,Male,Leipzig,Mobile Developer,14,2,Senior,Android,"Kotlin, Java / Scala, Azure",60000,60000,52000,52000,23,Full-time employee,Unlimited contract,English,101-1000,Consulting / Agency,No,,
24/11/2020 14:47:18,29,Male,Berlin,Backend Developer,9,5,Senior,Java,"Kotlin, SQL, Azure, Kubernetes, Docker, Mongo",85000,,66000,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 14:49:06,37,Male,Berlin,Frontend Developer,14,5,Senior,Angular,"Javascript / Typescript, Azure, Kubernetes, GraphQL",84000,,82000,,30,Full-time employee,Unlimited contract,English,1000+,IT Department of established business,No,0,
24/11/2020 14:49:52,41,Male,Munich,Senior Program Manager,19,5,Senior,Autonomous Driving,C/C++,123600,,120000,,33,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 14:52:12,33,Male,Mannheim,Software Engineer,6,2,Middle,c#,.NET,49000,,48000,,28,Full-time employee,Unlimited contract,English,51-100,Startup,No,24,
24/11/2020 14:54:48,33,Female,Berlin,QA Engineer,9,2,Middle,Java,,57000,,54000,,21,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,
24/11/2020 14:56:33,40,Male,Munich,QA Engineer,18,14,Lead,Java,"SQL, AWS, Kubernetes, Docker, Groovy",78000,8000,76000,7000,30,Full-time employee,Unlimited contract,German,1000+,Product,No,0,
24/11/2020 14:58:11,38,Male,Munich,Backend Developer,12,12,Senior,Java,"PHP, Javascript / Typescript, SQL",70000,1500,68000,1500,30,Full-time employee,Unlimited contract,German,101-1000,Telecommunications,No,0,675
24/11/2020 15:03:12,29,Male,Munich,Frontend Developer,5,"3,5",Middle,"Js, TypeScript, Angular",,57000,,57000,,26,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 15:04:23,27,Male,Berlin,Backend Developer,7,0,Senior,go,"SQL, Go, AWS, Kubernetes, Docker",72000,15000,,,30,Full-time employee,Unlimited contract,English,11-50,Product,No,,
24/11/2020 15:05:21,39,Male,Berlin,Product Manager,10,5,Lead,,,120000,200000,120000,200000,25,Full-time employee,Unlimited contract,English,1000+,Product,No,,2000
24/11/2020 15:07:35,33,Male,Frankfurt,Software Engineer,10,1,Senior,.NET,"Javascript / Typescript, SQL, Azure",26400,,,,,Self-employed (freelancer),Unlimited contract,English,up to 10,Startup,No,,
24/11/2020 15:07:35,28,Male,Berlin,Frontend Developer,8,5,Senior,Javascript,,68000,,,,,Full-time employee,,,,,,,
24/11/2020 15:08:28,33,Female,Munich,QA Engineer,6.5,3,Senior,,,58000,3500,55000,3000,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 15:09:28,38,Male,Munich,ML Engineer,10,3,Lead,Python,"SQL, AWS, Azure, Kubernetes, Docker",92000,101,85000,7000,30,Full-time employee,Unlimited contract,English,51-100,Consulting / Agency,No,20,
24/11/2020 15:10:18,42,Male,Berlin,ML Engineer,20,20,Senior,Python,"Java / Scala, SQL, AWS, Google Cloud, Azure, Docker",80000,,66000,,30,Full-time employee,Unlimited contract,German,1000+,Product,No,0,
24/11/2020 15:16:47,45,Female,Frankfurt,DB developer/Data analyst,6,0.9,Senior,T-SQL,,55000,,,,28,Full-time employee,Unlimited contract,English,11-50,Product,No,,
24/11/2020 15:17:34,38,Male,Hamburg,Software Engineer,12,6,Senior,Java,"Python, Java / Scala, AWS, Docker",73000,7000,72000,0,30,Full-time employee,Unlimited contract,English,51-100,Product,No,,
24/11/2020 15:17:54,29,Male,Berlin,QA Engineer,9,2,Senior,,"SQL, AWS, Kubernetes",62000,8000,55000,,28,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,
24/11/2020 15:21:19,30,Male,Berlin,Software Engineer,11,2,Senior,Kotlin,"Kotlin, .NET, SQL, AWS",55000,,55000,,30,Full-time employee,Unlimited contract,English,11-50,Startup,No,,
24/11/2020 15:22:10,32,Male,Berlin,Software Engineer,9,5,Lead,JavaScript,"Javascript / Typescript, Ruby, AWS, Kubernetes, Docker",90000,0,75000,0,25,Full-time employee,Unlimited contract,English,101-1000,Product,Have been a freelancer at the beginning of year,0,No
24/11/2020 15:27:01,41,Male,Munich,Backend Developer,21,3,Senior,Java,"Kubernetes, Docker",80000,0,78000,0,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,0,0
24/11/2020 15:28:50,34,Male,Berlin,Security Engineer,10,4,Senior,python,"Javascript / Typescript, AWS, Kubernetes",85000,25000,72000,0,28,Full-time employee,Unlimited contract,English,1000+,Product,No,,No
24/11/2020 15:31:46,45,Male,Berlin,Software Engineer,25,20,Lead,c++,"Python, C/C++, Javascript / Typescript, Ruby, .NET, Java / Scala, SQL, Go, AWS, Kubernetes",75000,20000,73000,20000,30,Full-time employee,Unlimited contract,German,1000+,Product,No,,
24/11/2020 15:32:59,34,Male,Berlin,DevOps,6,6,Middle,"Java, terraform","Python, Kotlin, Javascript / Typescript, Java / Scala, AWS, Kubernetes, Docker",62000,70000,54000,60000,28,Full-time employee,Unlimited contract,German,1000+,Media,No,,
24/11/2020 15:37:24,25,Male,Stuttgart,Backend Developer,7,1,Senior,PHP,"Python, PHP, Javascript / Typescript, SQL",60000,,,,26,Full-time employee,Unlimited contract,English,11-50,Startup,Yes,,
24/11/2020 15:38:09,32,Male,Berlin,Software Engineer,12,1.5,Senior,iOS,"Swift, objective-c",66800,,65000,,25,Full-time employee,Unlimited contract,English,51-100,Product,No,20,1000
24/11/2020 15:39:13,65,Male,Berlin,Software Engineer,25,25,Senior,"Pascal, VB.NET, C#",".NET, SQL",55000,,50000,,30,Full-time employee,Unlimited contract,German,51-100,Product,No,,
24/11/2020 15:41:16,33,Male,Munich,Business Analyst,10,4,Senior,Java,SQL,70000,0,70000,850,27,Full-time employee,Unlimited contract,English,101-1000,Product,"No, but there was a salary cut at 10% for 3 months and then at 5% for further 3 months",,
24/11/2020 15:41:45,34,Male,Berlin,ML Engineer,12,3,Senior,Python,"Python, SQL, Google Cloud, Kubernetes, Docker",90000,,80000,,27,Full-time employee,Unlimited contract,English,1000+,Product,No,,500
24/11/2020 15:42:31,28,Male,Berlin,Backend Developer,7,1,Senior,PHP,"Javascript / Typescript, .NET, SQL, Azure, Kubernetes, Docker",70000,,,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 15:47:19,,Male,Berlin,Data Engineer,7.5,1.5,Middle,SQL,"Python, SQL, AWS, Kubernetes, Docker",68000,500,48000,0,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 15:56:31,39,Male,Munich,DBA,17,5,Senior,Oracle,SQL,64000,70000,,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,500
24/11/2020 15:59:02,30,Male,Berlin,Backend Developer,7,2,Senior,Ruby,"Javascript / Typescript, SQL, Go, AWS, Docker",72000,0,66000,0,25,Full-time employee,Unlimited contract,English,11-50,Product,No,0,0
24/11/2020 15:59:17,34,Male,Berlin,DevOps,12,2,Senior,Java,"Go, AWS, Kubernetes, Docker",70000,0,,,25,Full-time employee,Unlimited contract,English,101-1000,Product,No,,1000
24/11/2020 16:02:11,35,Male,Berlin,Support Engineer,10,4,Senior,PHP,"SQL, AWS, Docker",63500,63500,60000,60000,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 16:03:27,35,Female,Berlin,Frontend Developer,12,5,Middle,Javascript ,"AWS, Docker",70000,0,70000,0,29,Full-time employee,Unlimited contract,English,101-1000,E-commerce,No,,No
24/11/2020 16:05:55,34,Male,Berlin,Frontend Developer,10,3,Senior,"Angular, React","Python, Javascript / Typescript, Docker",68000,0,68000,0,40,Full-time employee,Unlimited contract,English,11-50,Startup,No,30,0
24/11/2020 16:06:53,34,Male,Berlin,Software Engineer,12,2,Lead,.net,"Javascript / Typescript, .NET, SQL, Azure",78000,8000,64000,70000,36,Full-time employee,Unlimited contract,German,1000+,Product,No,0,0
24/11/2020 16:14:57,35,Male,Berlin,Software Engineer,8,1,Senior,Elixir,Erlang,75000,,,,27,Full-time employee,Unlimited contract,English,101-1000,Startup,,,1500
24/11/2020 16:15:34,38,Male,Berlin,Software Engineer,13,6,Lead,Java,Kotlin,89570,20240,82240,18000,30,Full-time employee,Unlimited contract,English,1000+,Product,No,0,500
24/11/2020 16:16:41,34,Female,Berlin,Software Engineer,9,3,Senior,Kotlin,"Python, Kotlin, Java / Scala, Google Cloud, Kubernetes, Docker",78000,3000,65000,7000,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 16:20:42,31,Male,Berlin,Mobile Developer,7,"3,5",Senior,iOS,Swift,80000,,72500,,27,Full-time employee,Unlimited contract,English,1000+,Product,No,20,
24/11/2020 16:26:30,34,Male,Berlin,Backend Developer,15,5,Senior,Elixir,"Javascript / Typescript, Ruby, SQL, Google Cloud, Kubernetes, Docker",70000,70000,65000,65000,30,Full-time employee,Unlimited contract,English,51-100,Product,No,,
24/11/2020 16:34:40,29,Female,Munich,Software Engineer,5,4,Middle,"NodeJS, Typescript, AWS","Javascript / Typescript, Java / Scala, AWS",67000,5000,65000,4000,31,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 16:35:30,37,Male,Berlin,Software Engineer,15,3,Senior,Scala,"Python, Java / Scala, Docker",85000,5000,100000,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 16:42:53,44,Male,Stuttgart,Software Engineer,22,3,Senior,Erlang,"Python, SQL, Docker",76000,,76000,,30,Full-time employee,Unlimited contract,English,51-100,Startup,No,,
24/11/2020 16:56:17,30,Male,Munich,Frontend Developer,9,3,Middle,TypeScript,"Javascript / Typescript, Kubernetes",66000,0,64000,0,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 17:01:00,26,Male,Frankfurt,Consultant,4,4,Middle,JavaScript,"Python, Javascript / Typescript",65000,70000,55000,55000,30,Full-time employee,Unlimited contract,German,101-1000,Consulting / Agency,No,,
24/11/2020 17:03:03,33,Diverse,Hamburg,Software Engineer,1,6,Middle,Scala,"Python, SQL, Kubernetes, Docker",130000,0,,,,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 17:04:09,46,Male,Berlin,Software Engineer,14,14,Senior,JavaScript,"PHP, Javascript / Typescript, SQL, Google Cloud, Docker",80000,,63000,,30,Full-time employee,Unlimited contract,English,51-100,Product,Yes,20,
24/11/2020 17:05:17,33,Male,Berlin,Software Engineer,14,4,Senior,PHP,"PHP, Java / Scala",68000,0,68000,0,,Full-time employee,Unlimited contract,English,51-100,Product,No,,500
24/11/2020 17:08:51,27,Male,Tuttlingen,Software Engineer,4,4,Junior,C#,.NET,46000,2000,43000,2000,30,Full-time employee,Unlimited contract,German,up to 10,Product,No,40,
24/11/2020 17:12:18,38,Male,Stuttgart,Software Engineer,15,8,Senior,C#,.NET,56400,,56400,,30,Full-time employee,Unlimited contract,English,11-50,Product,No,,
24/11/2020 17:21:09,32,Male,Munich,Backend Developer,11,3.5,Senior,PHP,"PHP, Javascript / Typescript, Java / Scala, Docker",81200,81200,,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,28,
24/11/2020 17:24:17,36,Female,Berlin,Recruiter,11,4,Senior,,,70000,11000,55000,0,unlimited,Full-time employee,Unlimited contract,English,1000+,Product,No,,1500
24/11/2020 17:24:24,26,Male,Frankfurt,Backend Developer,7,1.5,Senior,Java,,65000,,,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 17:27:43,29,Male,Berlin,Software Engineer,12,3,Senior,Go,"PHP, Go",75000,75000,70000,70000,27,Full-time employee,Unlimited contract,English,101-1000,Product,No,0,1000
24/11/2020 17:28:01,32,Male,Nürnberg,Testautomation,8,2,Senior,"Java, JS","Javascript / Typescript, Java / Scala",60000,0,,,30,Full-time employee,Unlimited contract,German,101-1000,Consulting / Agency,Yes,0,500
24/11/2020 17:29:12,29,Male,Bonn,Mobile Developer,5,2,Middle,Objective-C,Swift,55000,4000,55000,1800,24,Full-time employee,Unlimited contract,English,11-50,Product,No,,
24/11/2020 17:29:25,33,Male,Hamburg,Software Engineer,10,3,Senior,Ruby,Elixir,75000,,70000,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 17:29:51,,,Munich,Data Scientist,2,2,Middle,Python ,,54000,,54000,,20,Full-time employee,Unlimited contract,English,51-100,Product,No,,
24/11/2020 17:30:40,32,Male,Munich,QA Engineer,9,3,Senior,QA,Java / Scala,76000,0,,0,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 17:31:48,34,Male,Berlin,Software Engineer,10,10,Senior,C++,Python,76000,12000,73000,8000,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 17:33:40,31,Male,Moscow,Data Scientist,2.5,0,Lead,Python,Python,20000,6500,17000,3500,30,Full-time employee,Unlimited contract,Russian,1000+,Bank,No,,
24/11/2020 17:35:27,29,Male,Munich,Software Engineer,7,1,Senior,TypeScript,"Javascript / Typescript, AWS",80000,0,,,,Full-time employee,Unlimited contract,English,11-50,Startup,No,,
24/11/2020 17:35:46,33,Male,Munich,Software Engineer,10,4,Senior,C#,Javascript / Typescript,78000,,65000,,30,Full-time employee,Unlimited contract,German,51-100,Product,No,,
24/11/2020 17:37:32,32,Male,Berlin,Backend Developer,4,1,Senior,Ruby,"Python, SQL, Go, AWS, Kubernetes, Docker",65000,,,57000,28,Full-time employee,Unlimited contract,English,51-100,Product,No,,
24/11/2020 17:38:29,47,Male,Hamburg,Software Engineer,22,10,Senior,C++/C#,"C/C++, .NET, SQL",46000,46000,46000,46000,30,Full-time employee,Unlimited contract,English,up to 10,Product,No,,1500
24/11/2020 17:38:51,29,Male,Berlin,Backend Developer,8,1.5,Middle,Go,Python,65000,0,60000,0,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 17:39:35,28,Male,Munich,Software Engineer,5,6,Senior,C++,"Python, C/C++",67000,2000,44000,2500,20,Self-employed (freelancer),Unlimited contract,English,up to 10,Startup,Yes,,
24/11/2020 17:40:38,,Male,Hamburg,Support Engineer,,2,Senior,,"Kubernetes, Docker",61000,,60000,,28,Full-time employee,Unlimited contract,English,,,No,,100
24/11/2020 17:40:40,25,Male,Hamburg,Data Scientist,2,2,Middle,Python,.NET,48000,5000,43200,48000,28,Full-time employee,Unlimited contract,German,11-50,Product,No,,
24/11/2020 17:40:57,32,Male,Munich,SAP Developer,9,1,Senior,ABAP,SAP / ABAP,70800,5000,,,30,Full-time employee,Unlimited contract,German,1000+,Consulting / Agency,No,35,
24/11/2020 17:43:34,45,Male,Munich,Frontend Developer,3,< 1,Senior,Javascript / Typescript,,70000,,65000,,25,Full-time employee,Unlimited contract,Russian,11-50,Startup,Yes,,
24/11/2020 17:45:03,26,Male,Frankfurt,Software Engineer,3,1,Middle,Python ,"Python, Java / Scala",48000,,,,27,Full-time employee,Unlimited contract,English,51-100,Consulting / Agency,No,,
24/11/2020 17:45:39,29,Male,Munich,Mobile Developer,8,0.25,Senior,Java/Kotlin,"Kotlin, C/C++, Java / Scala",65400,,,,30,Full-time employee,Unlimited contract,English,11-50,Consulting / Agency,No,0,0
24/11/2020 17:47:00,40,Male,Berlin,Backend Developer,18,2.5,Senior,php,"PHP, SQL, Go, Docker, Postgres",60000,0,60000,0,28,Full-time employee,Unlimited contract,English,1000+,Product,No,34,0
24/11/2020 17:47:42,27,Male,Munich,Software Engineer,5,1,Senior,Typescript / Angular,,71000,5000,66000,0,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 17:51:26,27,Male,Munich,Software Engineer,5,1,Senior,Javascript,"Javascript / Typescript, Go",65000,,65000,65000,22,Full-time employee,Unlimited contract,English,51-100,Product,No,,
24/11/2020 17:53:18,38,Male,Koblenz,Systemadministrator,20,2,Senior,,,44000,,42000,,25,Full-time employee,Unlimited contract,German,11-50,Systemhaus,No,20,
24/11/2020 17:55:30,22,Male,Warsaw,Backend Developer,3,0,Middle,PHP,,27000,,,,21,Full-time employee,Unlimited contract,Polish,51-100,Consulting / Agency,No,,
24/11/2020 17:57:20,30,Male,Berlin,DevOps,9,5,Lead,Kubernetes,"Python, Google Cloud, Kubernetes, Docker",90000,0,80000,0,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 17:57:39,30,Male,Hamburg,Software Engineer,6,0,Middle,.NET,"Javascript / Typescript, .NET, SQL, Docker",60000,6000,,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 18:01:03,29,Male,Munich,SW Architect,8,3,Senior,C++,"Python, C/C++, Docker",73000,400,59000,60000,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 18:06:17,37,Male,Heidelberg,Software Engineer,15,7,Senior,ABAP,"Javascript / Typescript, SAP / ABAP",67500,7500,65000,5000,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 18:09:09,28,Male,Berlin,SRE,6,1.5,Middle,Kubernetes,"Python, Go, AWS, Kubernetes, Docker",66000,122.13,66000,0,27,Full-time employee,Unlimited contract,English,1000+,Product,No,0,0
24/11/2020 18:10:47,28,Female,Berlin,Software Engineer,8,0,Lead,Javascript,,80000,0,,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,500
24/11/2020 18:10:54,26,Male,Karlsruhe,Software Engineer,5,5,,,"Python, Kotlin, Javascript / Typescript, Java / Scala, SQL, Kubernetes, Docker",55000,0,52000,0,30,Full-time employee,Unlimited contract,50/50,11-50,Consulting / Agency,No,32,0
24/11/2020 18:12:43,28,Male,Stuttgart,Backend Developer,5,1.5,Middle,Java,Linux,55000,5000,42000,,30,Full-time employee,Unlimited contract,German,101-1000,Product,No,0,
24/11/2020 18:13:06,33,Male,Berlin,Software Engineer,13,3,Senior,Ruby,"Ruby, Java / Scala, Go, AWS, Kubernetes, Docker",75000,20000,68000,0,27,Full-time employee,Unlimited contract,English,1000+,Product,No,,600
24/11/2020 18:16:39,25,Male,Berlin,Backend Developer,5,0,Senior,Java,Python,60000,5600,,,,,,,,,,,
24/11/2020 18:19:49,38,Male,Köln,QA Engineer,7,2,Middle,,,54500,,54500,,30,Full-time employee,Unlimited contract,German,11-50,Consulting / Agency,No,,1500
24/11/2020 18:22:41,40,Male,Frankfurt,Software Engineer,22,3,Senior,Java,"Kotlin, Javascript / Typescript, Java / Scala, Kubernetes, Docker",72000,5000,45000,45000,30,Full-time employee,Unlimited contract,German,1000+,Product,No,,
24/11/2020 18:25:30,28,Male,Munich,"Fullstack engineer, ну или Software engineer",9,1,Senior,React/Typescript,MongoDB,60000,0,,,28,Full-time employee,Unlimited contract,English,up to 10,Startup,No,20,
24/11/2020 18:27:22,29,Male,Berlin,Backend Developer,11,2,Senior,Python,"Python, Go, AWS, Kubernetes, Docker",85000,4000,85000,4000,30,Full-time employee,Unlimited contract,English,51-100,Product,No,,
24/11/2020 18:31:25,,Male,Berlin,Software Engineer,9,1,Lead,Java,"AWS, Docker",75000,,,,24,Full-time employee,Unlimited contract,English,1000+,Startup,No,20,No
24/11/2020 18:32:14,24,Male,Aachen,HiWi,3,2,Junior,Python,"Python, C/C++",10164,,,,14,Part-time employee,Temporary contract,English,11-50,University,No,,
24/11/2020 18:33:17,30,Male,Berlin,Backend Developer,4,2,Senior,Golang ,"Javascript / Typescript, .NET, SQL, Go, Kubernetes, Docker",65000,,,,,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 18:36:46,31,Male,Munich,Software Engineer,11,1,Middle,Python,Docker,75000,,,,unlimited ,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 18:37:32,44,Male,Munich,Software Engineer,28,6,Senior,C#,"C/C++, .NET, SQL",78500,0,78500,2000,30,Full-time employee,Unlimited contract,English,51-100,Product,No,,
24/11/2020 18:39:05,35,Male,Düsseldorf,Product Manager,5,2,Senior,,,56000,56000,54000,54000,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,0,No
24/11/2020 18:39:13,41,Female,Munich,Data Engineer,12,12,Senior,,"Python, SQL, Azure",68000,4500,61500,5000,30,Full-time employee,Unlimited contract,German,101-1000,Consulting / Agency,Lost the job but for different reason,0,0
24/11/2020 18:40:13,32,Male,Berlin,Software Engineer,12,1,Senior,Java,"Python, SQL, AWS, Kubernetes, Docker",83000,500,75000,0,27,Full-time employee,Unlimited contract,English,1000+,Product,No,0,40
24/11/2020 18:44:33,28,Female,Mannheim,Software Engineer,4,4,Junior,,"PHP, SQL, Perl",53000,,,,30,Full-time employee,Unlimited contract,English,1000+,Consulting / Agency,No,,
24/11/2020 18:48:30,,Male,Karlsruhe ,Backend Developer,8,8,Lead,Python,"Python, C/C++, Javascript / Typescript, Java / Scala",65000,5400,70400,5400,29,Part-time employee,Unlimited contract,English,up to 10,Product,No,39,10000
24/11/2020 18:49:18,33,Male,Berlin,Software Engineer,10,1,Middle,iOS,Swift,65000,,,,27,Full-time employee,Unlimited contract,English,1000+,Product,No,,500
24/11/2020 18:49:33,46,Male,Munich,Software Engineer,10,2,Senior,Python ,"Javascript / Typescript, AWS",68500,,60000,,28,Full-time employee,Unlimited contract,English,51-100,Startup,No,,
24/11/2020 18:50:28,27,Male,Berlin,Frontend Developer,8,1,Middle,Angular,Javascript / Typescript,45000,,,,28,Full-time employee,Unlimited contract,English,51-100,Product,No,30,
24/11/2020 18:50:50,30,Male,Samara,Backend Developer,2,0,Middle,php,"PHP, Javascript / Typescript, SQL",12000,,,,,,,,,,,,
24/11/2020 18:51:35,32,Male,Berlin,Backend Developer,5,3,Middle,Ruby,"Javascript / Typescript, AWS, Docker",72000,,60000,,30,Full-time employee,Unlimited contract,English,11-50,Product,No,0,
24/11/2020 18:52:09,34,Male,Berlin,Software Engineer,15,2,Lead,Java,"Java / Scala, SQL",80000,12000,76000,11000,28,Full-time employee,Unlimited contract,English,1000+,Product,No,,750
