Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Net Sales,Commision (in value),Gender,Age,Claim
EPX,Travel Agency,Online,Cancellation Plan,35,THAILAND,10.0,0.0,,23,0
EPX,Travel Agency,Online,Cancellation Plan,35,ISRAEL,59.0,0.0,,36,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,1,MALAYSIA,20.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,4,INDONESIA,20.0,0.0,,36,0
C2B,Airlines,Online,Bronze Plan,41,SINGAPORE,21.0,5.25,F,30,0
JZI,Airlines,Online,Basic Plan,44,HONG KONG,26.0,9.1,F,32,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,11,HONG KONG,52.0,0.0,,36,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,12,SINGAPORE,20.0,0.0,,36,0
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,24.05,6.01,M,66,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,9,THAILAND,20.0,0.0,,33,0
EPX,Travel Agency,Online,Cancellation Plan,328,AUSTRALIA,80.0,0.0,,36,0
C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,18.0,4.5,F,52,0
JZI,Airlines,Online,Basic Plan,15,MALAYSIA,22.0,7.7,F,56,0
EPX,Travel Agency,Online,Cancellation Plan,6,HONG KONG,29.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,3,BAHRAIN,31.0,10.85,M,47,0
EPX,Travel Agency,Online,Cancellation Plan,67,SINGAPORE,40.0,0.0,,29,0
JZI,Airlines,Online,Basic Plan,12,JAPAN,35.0,12.25,M,29,0
EPX,Travel Agency,Online,Cancellation Plan,8,THAILAND,10.0,0.0,,35,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,3,INDONESIA,50.0,0.0,,36,0
C2B,Airlines,Online,Bronze Plan,2,SINGAPORE,11.5,2.88,M,33,0
EPX,Travel Agency,Online,Cancellation Plan,67,UNITED STATES,75.0,0.0,,44,0
EPX,Travel Agency,Online,Cancellation Plan,13,"TANZANIA, UNITED REPUBLIC OF",64.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,27,INDIA,77.0,0.0,,36,0
JZI,Airlines,Online,Value Plan,39,GERMANY,0.0,30.45,M,35,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,149,"KOREA, REPUBLIC OF",55.0,0.0,,36,0
SSI,Airlines,Online,Ticket Protector,22,SINGAPORE,0.92,0.26,,48,0
EPX,Travel Agency,Online,Cancellation Plan,55,UNITED STATES,80.0,0.0,,49,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,53,GERMANY,29.7,17.82,,41,0
JZI,Airlines,Online,Basic Plan,48,THAILAND,22.0,7.7,M,58,0
EPX,Travel Agency,Online,Cancellation Plan,28,THAILAND,68.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,152,UNITED KINGDOM,0.0,17.82,,41,0
EPX,Travel Agency,Online,Cancellation Plan,45,VIET NAM,10.0,0.0,,55,0
EPX,Travel Agency,Online,Cancellation Plan,3,INDIA,18.0,0.0,,26,0
C2B,Airlines,Online,Annual Silver Plan,372,SINGAPORE,216.0,54.0,M,33,0
EPX,Travel Agency,Online,Cancellation Plan,63,HONG KONG,20.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,1,SINGAPORE,10.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,10,AUSTRALIA,59.4,35.64,,33,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,19,THAILAND,20.0,0.0,,36,0
C2B,Airlines,Online,Silver Plan,28,SINGAPORE,27.0,6.75,F,57,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,1,THAILAND,22.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,2,CHINA,20.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,5,MYANMAR,10.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,9,LAO PEOPLE'S DEMOCRATIC REPUBLIC,12.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,8,UNITED STATES,39.6,23.76,,38,0
JZI,Airlines,Online,Basic Plan,6,HONG KONG,26.0,9.1,M,49,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,45,GERMANY,118.8,71.28,,45,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,20,THAILAND,29.7,17.82,,50,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,2,MALAYSIA,20.0,0.0,,33,0
C2B,Airlines,Online,Bronze Plan,62,SINGAPORE,13.5,3.38,M,30,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,36,THAILAND,20.0,0.0,,30,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,25,CHINA,37.0,0.0,,36,0
CCR,Travel Agency,Offline,Comprehensive Plan,105,THAILAND,29.0,9.57,M,65,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,27,"KOREA, REPUBLIC OF",70.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,13,INDONESIA,22.0,7.7,M,38,0
C2B,Airlines,Online,Silver Plan,8,SINGAPORE,22.5,5.63,M,23,1
EPX,Travel Agency,Online,Cancellation Plan,4,VIET NAM,10.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,16,ITALY,53.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,5,CHINA,22.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,44,INDONESIA,23.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,131,INDIA,10.0,0.0,,63,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,10,AUSTRALIA,69.3,41.58,,31,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,53,THAILAND,27.0,0.0,,72,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,29,NEW ZEALAND,138.6,83.16,,57,0
JZI,Airlines,Online,Basic Plan,9,"TAIWAN, PROVINCE OF CHINA",35.0,12.25,M,36,0
C2B,Airlines,Online,Silver Plan,8,SINGAPORE,47.5,11.88,M,29,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,120,JAPAN,36.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,15,MALAYSIA,20.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,1,CHINA,80.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,72,NEW ZEALAND,10.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,7,SINGAPORE,19.0,0.0,,36,0
SSI,Airlines,Online,Ticket Protector,133,SINGAPORE,12.87,3.61,,48,0
C2B,Airlines,Online,Silver Plan,32,SINGAPORE,81.5,20.38,M,40,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,22,AUSTRALIA,-59.4,35.64,,46,0
JWT,Airlines,Online,Value Plan,7,INDIA,39.0,15.6,F,118,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,11,MALAYSIA,20.0,0.0,,26,0
JZI,Airlines,Online,Basic Plan,4,INDONESIA,18.0,6.3,M,71,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,16,AUSTRALIA,79.2,47.52,,47,0
EPX,Travel Agency,Online,Cancellation Plan,4,MALAYSIA,10.0,0.0,,24,0
C2B,Airlines,Online,Gold Plan,6,SINGAPORE,57.5,14.38,F,42,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,5,FRANCE,0.0,17.82,,28,0
EPX,Travel Agency,Online,Cancellation Plan,23,JAPAN,76.0,0.0,,33,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,12,JAPAN,84.0,0.0,,36,0
C2B,Airlines,Online,Bronze Plan,25,SINGAPORE,72.0,18.0,F,26,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,6,THAILAND,56.0,0.0,,27,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,2,CHINA,26.0,0.0,,36,0
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,35.1,8.78,F,25,0
EPX,Travel Agency,Online,Cancellation Plan,1,INDONESIA,10.0,0.0,,23,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,56,UNITED KINGDOM,19.8,11.88,,54,0
C2B,Airlines,Online,Silver Plan,12,SINGAPORE,41.5,10.38,F,37,0
EPX,Travel Agency,Online,Cancellation Plan,16,INDONESIA,15.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,44,AUSTRALIA,69.3,41.58,,40,0
LWC,Travel Agency,Online,Annual Travel Protect Gold,367,UNITED STATES,256.2,166.53,F,51,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,31,HONG KONG,20.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,15,MALAYSIA,22.0,7.7,M,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,8,AUSTRALIA,49.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,20,UNITED STATES,14.0,0.0,,34,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,31,AUSTRALIA,0.0,59.4,,34,0
EPX,Travel Agency,Online,Cancellation Plan,4,CHINA,24.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,10,AUSTRALIA,77.0,0.0,,35,0
JWT,Airlines,Online,Value Plan,5,INDIA,31.0,12.4,M,118,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,100,SPAIN,-9.9,5.94,,51,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,50,THAILAND,38.0,0.0,,47,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,33,MALAYSIA,20.0,0.0,,35,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,83,PHILIPPINES,20.0,0.0,,39,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,41,THAILAND,28.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,9,CHINA,75.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,11,THAILAND,20.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,22,"KOREA, REPUBLIC OF",71.0,0.0,,54,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,7,AUSTRALIA,29.7,17.82,,60,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,22,AUSTRALIA,59.4,35.64,,46,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,175,GERMANY,112.0,0.0,,36,0
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,13.5,3.38,F,45,0
EPX,Travel Agency,Online,Cancellation Plan,6,CHINA,11.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,22,MALAYSIA,10.0,0.0,,26,0
EPX,Travel Agency,Online,Cancellation Plan,18,PHILIPPINES,16.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,3,INDIA,29.0,0.0,,26,0
TTW,Travel Agency,Offline,Spouse or Parents Comprehensive Plan,391,SINGAPORE,86.0,0.0,M,43,0
EPX,Travel Agency,Online,Cancellation Plan,37,CHINA,22.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,29,SINGAPORE,11.0,0.0,,36,0
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,14.95,3.74,F,30,0
JZI,Airlines,Online,Value Plan,3,MALAYSIA,26.0,9.1,F,59,0
EPX,Travel Agency,Online,Cancellation Plan,6,MALAYSIA,10.0,0.0,,53,0
EPX,Travel Agency,Online,Cancellation Plan,19,PHILIPPINES,12.0,0.0,,36,0
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,187.85,46.96,F,28,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,3,SINGAPORE,20.0,0.0,,45,0
C2B,Airlines,Online,Bronze Plan,14,SINGAPORE,23.4,5.85,M,69,1
EPX,Travel Agency,Online,Cancellation Plan,23,CHINA,15.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,131,AUSTRALIA,22.0,7.7,F,67,0
EPX,Travel Agency,Online,Cancellation Plan,36,UNITED STATES,11.0,0.0,,21,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,15,MALAYSIA,22.0,0.0,,34,0
SSI,Airlines,Online,Ticket Protector,80,SINGAPORE,2.64,0.74,,48,0
RAB,Airlines,Online,Value Plan,11,MALAYSIA,23.0,9.2,M,32,0
EPX,Travel Agency,Online,Cancellation Plan,15,PHILIPPINES,21.0,0.0,,35,0
EPX,Travel Agency,Online,Cancellation Plan,15,SINGAPORE,11.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,24,INDONESIA,14.0,0.0,,49,0
EPX,Travel Agency,Online,Cancellation Plan,3,HONG KONG,10.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,43,JAPAN,55.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,1,FRANCE,10.0,0.0,,36,0
JZI,Airlines,Online,Value Plan,22,NEW ZEALAND,58.0,20.3,F,18,0
EPX,Travel Agency,Online,Cancellation Plan,10,MACAO,17.0,0.0,,55,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,17,MALAYSIA,39.6,23.76,,31,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,18,MALAYSIA,29.7,17.82,,39,0
C2B,Airlines,Online,Bronze Plan,19,SINGAPORE,30.55,7.64,M,61,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,194,THAILAND,59.4,35.64,,44,0
EPX,Travel Agency,Online,Cancellation Plan,13,THAILAND,43.0,0.0,,29,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,8,GERMANY,29.7,17.82,,59,0
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,53.0,13.25,M,25,0
RAB,Airlines,Online,Value Plan,6,BRUNEI DARUSSALAM,15.0,6.0,F,50,0
EPX,Travel Agency,Online,Cancellation Plan,37,UNITED STATES,80.0,0.0,,34,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,99,UNITED STATES,0.0,23.76,,49,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,39,MALAYSIA,26.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,26,PHILIPPINES,11.0,0.0,,36,0
C2B,Airlines,Online,Silver Plan,61,SINGAPORE,88.5,22.13,F,29,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,38,UNITED STATES,112.0,0.0,,40,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,67,AUSTRALIA,99.0,59.4,,31,0
EPX,Travel Agency,Online,Cancellation Plan,9,"TAIWAN, PROVINCE OF CHINA",28.0,0.0,,36,0
C2B,Airlines,Online,Silver Plan,14,SINGAPORE,57.0,14.25,F,31,0
EPX,Travel Agency,Online,Cancellation Plan,109,CROATIA,98.0,0.0,,36,0
SSI,Airlines,Online,Ticket Protector,71,SINGAPORE,4.52,1.27,,48,0
EPX,Travel Agency,Online,Cancellation Plan,162,HONG KONG,13.0,0.0,,36,0
C2B,Airlines,Online,Silver Plan,2,SINGAPORE,18.5,4.63,M,28,0
C2B,Airlines,Online,Annual Silver Plan,366,SINGAPORE,161.0,40.25,F,71,0
C2B,Airlines,Online,Bronze Plan,33,SINGAPORE,26.5,6.63,F,19,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,19,THAILAND,26.0,0.0,,34,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,7,MALAYSIA,49.5,29.7,,50,0
EPX,Travel Agency,Online,Cancellation Plan,27,VIET NAM,20.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,14,SINGAPORE,20.0,0.0,,36,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,5,INDIA,50.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,33,CANADA,47.0,0.0,,32,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,10,AUSTRALIA,59.4,35.64,,51,0
RAB,Airlines,Online,Value Plan,2,BRUNEI DARUSSALAM,15.0,6.0,M,38,0
EPX,Travel Agency,Online,Cancellation Plan,23,HONG KONG,18.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,26,THAILAND,23.0,0.0,,38,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,62,THAILAND,29.7,17.82,,46,0
EPX,Travel Agency,Online,Cancellation Plan,19,SINGAPORE,10.0,0.0,,28,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,79,INDONESIA,20.0,0.0,,40,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,66,MYANMAR,24.0,0.0,,35,0
EPX,Travel Agency,Online,Cancellation Plan,18,NEW ZEALAND,15.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,49,MALAYSIA,10.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,47,VIET NAM,17.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,5,MALAYSIA,18.0,6.3,F,40,0
JZI,Airlines,Online,Basic Plan,13,MALAYSIA,33.0,11.55,M,45,0
JZI,Airlines,Online,Basic Plan,47,HONG KONG,22.0,7.7,M,48,0
EPX,Travel Agency,Online,Cancellation Plan,97,INDIA,10.0,0.0,,36,0
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,14.95,3.74,F,34,0
JZI,Airlines,Online,Basic Plan,11,INDONESIA,18.0,6.3,F,31,0
EPX,Travel Agency,Online,Cancellation Plan,6,CHINA,11.0,0.0,,36,0
C2B,Airlines,Online,Gold Plan,78,SINGAPORE,124.2,31.05,M,32,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,47,"KOREA, REPUBLIC OF",42.0,0.0,,23,1
EPX,Travel Agency,Online,Cancellation Plan,10,INDONESIA,10.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,9,THAILAND,12.0,0.0,,36,0
RAB,Airlines,Online,Value Plan,56,BRUNEI DARUSSALAM,23.0,9.2,F,18,0
C2B,Airlines,Online,Annual Silver Plan,366,SINGAPORE,259.2,64.8,F,57,0
EPX,Travel Agency,Online,Cancellation Plan,17,SINGAPORE,64.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,33,HONG KONG,41.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,11,AUSTRALIA,29.7,17.82,,31,0
C2B,Airlines,Online,Bronze Plan,34,SINGAPORE,60.0,15.0,F,28,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,14,UNITED KINGDOM,101.0,0.0,,35,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,12,AUSTRALIA,19.8,11.88,,33,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,12,PHILIPPINES,36.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,59,NORWAY,29.7,17.82,,41,0
CSR,Travel Agency,Offline,Comprehensive Plan,137,MALAYSIA,29.0,9.57,F,58,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,1,MALAYSIA,9.9,5.94,,37,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,19,AUSTRALIA,79.2,47.52,,28,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,28,AUSTRALIA,79.2,47.52,,31,0
JWT,Airlines,Online,Value Plan,8,INDIA,39.0,15.6,M,118,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,10,SINGAPORE,21.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,5,MALAYSIA,19.8,11.88,,29,0
EPX,Travel Agency,Online,Cancellation Plan,18,THAILAND,19.0,0.0,,29,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,14,ITALY,37.0,0.0,,36,0
SSI,Airlines,Online,Ticket Protector,29,SINGAPORE,12.35,3.46,,48,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,40,SINGAPORE,30.0,0.0,,29,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,22,VIET NAM,27.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,51,ITALY,79.2,47.52,,44,1
TTW,Travel Agency,Offline,Individual Comprehensive Plan,366,SINGAPORE,97.0,0.0,F,34,0
EPX,Travel Agency,Online,Cancellation Plan,5,PHILIPPINES,80.0,0.0,,35,0
EPX,Travel Agency,Online,Cancellation Plan,6,CHILE,46.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,7,AUSTRALIA,19.8,11.88,,34,0
EPX,Travel Agency,Online,Cancellation Plan,1,VIET NAM,10.0,0.0,,35,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,NETHERLANDS,79.2,47.52,,51,0
EPX,Travel Agency,Online,Cancellation Plan,28,THAILAND,52.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,33,SPAIN,10.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,2,INDONESIA,18.0,6.3,M,55,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,6,SINGAPORE,20.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,7,HONG KONG,14.0,0.0,,45,0
JZI,Airlines,Online,Basic Plan,9,MALAYSIA,18.0,6.3,M,49,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,69,THAILAND,20.0,0.0,,43,0
JZI,Airlines,Online,Basic Plan,49,INDONESIA,18.0,6.3,F,31,0
EPX,Travel Agency,Online,Cancellation Plan,2,INDONESIA,10.0,0.0,,35,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,51,NEW ZEALAND,112.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,4,JAPAN,22.0,0.0,,36,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,16,CHINA,32.0,0.0,,36,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,61,THAILAND,20.0,0.0,,21,0
EPX,Travel Agency,Online,Cancellation Plan,139,MALAYSIA,10.0,0.0,,31,0
SSI,Airlines,Online,Ticket Protector,163,SINGAPORE,10.04,2.81,,48,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,11,JAPAN,38.0,0.0,,36,0
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,259.2,64.8,F,37,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,87,PORTUGAL,71.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,22,THAILAND,37.0,0.0,,36,0
EPX,Travel Agency,Offline,2 way Comprehensive Plan,13,HONG KONG,30.0,0.0,,118,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,33,THAILAND,59.4,35.64,,40,0
JZI,Airlines,Online,Basic Plan,3,JAPAN,22.0,7.7,M,34,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,41,HONG KONG,33.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,14,AUSTRALIA,49.5,29.7,,28,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,4,THAILAND,24.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,81,THAILAND,10.0,0.0,,33,0
EPX,Travel Agency,Online,Cancellation Plan,54,INDIA,23.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,6,CHINA,0.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,86,INDONESIA,18.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,32,SINGAPORE,10.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,48,CHINA,26.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,122,PHILIPPINES,13.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,3,THAILAND,10.0,0.0,,44,0
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,13.5,3.38,M,21,0
EPX,Travel Agency,Online,Cancellation Plan,24,HONG KONG,19.0,0.0,,36,0
C2B,Airlines,Online,Silver Plan,193,SINGAPORE,67.8,16.95,F,28,0
JZI,Airlines,Online,Basic Plan,29,CHINA,26.0,9.1,M,29,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,22,"TAIWAN, PROVINCE OF CHINA",33.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,7,MALAYSIA,16.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,30,PHILIPPINES,13.0,0.0,,39,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,10,SINGAPORE,0.0,11.88,,44,0
EPX,Travel Agency,Online,Cancellation Plan,66,SINGAPORE,38.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,23,PHILIPPINES,11.0,0.0,,64,0
EPX,Travel Agency,Online,Cancellation Plan,57,MALAYSIA,10.0,0.0,,32,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,40,SINGAPORE,36.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,28,INDONESIA,10.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,18,SINGAPORE,10.0,0.0,,42,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,37,SINGAPORE,24.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,1,THAILAND,10.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,13,UNITED STATES,87.0,0.0,,40,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,4,CHINA,35.0,0.0,,36,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,12,THAILAND,20.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,34,MALAYSIA,19.8,11.88,,31,0
JZI,Airlines,Online,Basic Plan,5,INDONESIA,18.0,6.3,F,32,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,21,SINGAPORE,29.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,11,SINGAPORE,10.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,3,INDONESIA,10.0,0.0,,48,0
JZI,Airlines,Online,Basic Plan,12,HONG KONG,22.0,7.7,M,37,0
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,13.5,3.38,F,34,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,38,BRUNEI DARUSSALAM,34.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,33,LAO PEOPLE'S DEMOCRATIC REPUBLIC,10.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,76,SINGAPORE,31.0,0.0,,36,0
C2B,Airlines,Online,Silver Plan,26,SINGAPORE,39.0,9.75,F,35,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,68,PHILIPPINES,20.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,14,GREECE,29.7,17.82,,30,0
JZI,Airlines,Online,Basic Plan,38,INDONESIA,18.0,6.3,F,53,0
EPX,Travel Agency,Online,Cancellation Plan,85,MYANMAR,11.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,15,CHINA,35.0,12.25,M,32,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,68,SINGAPORE,27.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,45,JAPAN,60.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,120,MALAYSIA,20.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,7,THAILAND,40.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,47,SINGAPORE,80.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,60,SINGAPORE,18.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,11,AUSTRALIA,49.5,29.7,,49,0
